query_table,query_column,candidate_table,candidate_column,llm_response,approved
adventureworks2014_countryregion,Name,world_country,Name,Yes,True
adventureworks2014_countryregion,Name,countries_and_continents,name,Yes,True
adventureworks2014_countryregion,Name,adventureworks2014_countryregion,Name,Yes,True
adventureworks2014_countryregion,Name,countries_metadatacountries,CountryName,Yes,True
adventureworks2014_countryregion,Name,adventureworks2014_salesterritory,Name,Yes,True
adventureworks2014_countryregion,Name,countries_data,CountryName,Yes,True
adventureworks2014_countryregion,Name,us_companies_copy,country,Yes,True
adventureworks2014_countryregion,Name,us_companies,country,**Yes**,True
adventureworks2014_countryregion,Name,movies,country,Yes,True
adventureworks2014_countryregion,Name,usa_cars_datasets,country,Yes,True
adventureworks2014_countryregion,Name,movie_metadata,country,Yes,True
adventureworks2014_countryregion,Name,countries_of_the_world,Country,Yes,True
adventureworks2014_countryregion,Name,gender_development,Country,Yes,True
adventureworks2014_countryregion,Name,whr2015,Country,Yes,True
adventureworks2014_countryregion,Name,world_countries_env_vars,Country,Yes,True
adventureworks2014_countryregion,Name,who_suicide_statistics,country,Yes,True
adventureworks2014_countryregion,Name,acquisitions,Country,Yes,True
adventureworks2014_countryregion,Name,cwurdata,country,Yes,True
adventureworks2014_countryregion,Name,world_country,LocalName,Yes,True
adventureworks2014_countryregion,Name,adventureworks2014_culture,Name,No,False
adventureworks2014_countryregion,Name,adventureworks2014_stateprovince,Name,Yes,True
adventureworks2014_countryregion,Name,word_university_rank_2020,Country,Yes,True
adventureworks2014_countryregion,Name,ukdebate,country,Yes,True
adventureworks2014_countryregion,Name,edu,country,Yes,True
adventureworks2014_countryregion,Name,world_city,Name,No,False
adventureworks2014_countryregion,Name,language,Name,No,False
adventureworks2014_countryregion,Name,moviesonstreamingplatforms_updated,Country,Yes,True
adventureworks2014_countryregion,Name,netflix_titles,country,Yes,True
adventureworks2014_countryregion,Name,world-cities,country,Yes,True
adventureworks2014_countryregion,Name,countries_and_continents,official_name_en,Yes,True
adventureworks2014_countryregion,Name,adventureworks2014_currency,Name,No,False
adventureworks2014_countryregion,Name,most_frequent_names,Name,No,False
adventureworks2014_countryregion,Name,world-cities,name,No,False
adventureworks2014_countryregion,Name,directory,Country,Yes,True
adventureworks2014_countryregion,Name,countries_and_continents,official_name_fr,Yes,True
adventureworks2014_countryregion,Name,imdb_ijs_actors,lastname,No,False
adventureworks2014_countryregion,Name,imdb_ijs_directors,lastname,No,False
adventureworks2014_countryregion,Name,world-cities,geonameid,No,False
adventureworks2014_countryregion,Name,countries_and_continents,Geoname_ID,Yes,True
adventureworks2014_countryregion,Name,fifa_ranking,country_full,Yes,True
adventureworks2014_countryregion,Name,world_city,CountryCode,Yes,True
adventureworks2014_countryregion,Name,adventureworks2014_shift,Name,No,False
adventureworks2014_countryregion,Name,world_countrylanguage,CountryCode,Yes,True
adventureworks2014_countryregion,Name,imdb_ijs_directors,firstname,No,False
adventureworks2014_countryregion,Name,wikipedia-iso-country-codes,English_short_name_lower_case,Yes,True
adventureworks2014_countryregion,Name,countries_metadatacountries,CountryCode,Yes,True
adventureworks2014_countryregion,Name,countries_target,CountryCode,Yes,True
adventureworks2014_countryregion,Name,countries_data,CountryCode,Yes,True
adventureworks2014_countryregion,Name,imdb_ijs_actors,firstname,No,False
adventureworks2014_countryregion,Name,fifa_ranking,country_abrv,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_salesterritory,Name,Yes,True
adventureworks2014_salesterritory,Name,world_country,Name,No,False
adventureworks2014_salesterritory,Name,countries_and_continents,name,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_countryregion,Name,Yes,True
adventureworks2014_salesterritory,Name,us_companies_copy,country,Yes,True
adventureworks2014_salesterritory,Name,us_companies,country,Yes,True
adventureworks2014_salesterritory,Name,movies,country,Yes,True
adventureworks2014_salesterritory,Name,usa_cars_datasets,country,**No**,False
adventureworks2014_salesterritory,Name,movie_metadata,country,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_stateprovince,Name,No,False
adventureworks2014_salesterritory,Name,acquisitions,Country,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_culture,Name,No,False
adventureworks2014_salesterritory,Name,cwurdata,country,Yes,True
adventureworks2014_salesterritory,Name,world-cities,geonameid,No,False
adventureworks2014_salesterritory,Name,moviesonstreamingplatforms_updated,Country,Yes,True
adventureworks2014_salesterritory,Name,netflix_titles,country,Yes,True
adventureworks2014_salesterritory,Name,world-cities,country,Yes,True
adventureworks2014_salesterritory,Name,countries_data,CountryName,Yes,True
adventureworks2014_salesterritory,Name,directory,Country,No,False
adventureworks2014_salesterritory,Name,world_country,LocalName,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_shift,Name,No,False
adventureworks2014_salesterritory,Name,countries_metadatacountries,CountryName,Yes,True
adventureworks2014_salesterritory,Name,who_suicide_statistics,country,Yes,True
adventureworks2014_salesterritory,Name,language,Name,No,False
adventureworks2014_salesterritory,Name,world_city,Name,No,False
adventureworks2014_salesterritory,Name,world-cities,name,No,False
adventureworks2014_salesterritory,Name,countries_and_continents,Geoname_ID,No,False
adventureworks2014_salesterritory,Name,imdb_ijs_directors,lastname,No,False
adventureworks2014_salesterritory,Name,imdb_ijs_actors,lastname,No,False
adventureworks2014_salesterritory,Name,adventureworks2014_salesterritory,Group,Yes,True
adventureworks2014_salesterritory,Name,imdb_ijs_actors,firstname,No,False
adventureworks2014_salesterritory,Name,most_frequent_names,Name,No,False
adventureworks2014_salesterritory,Name,imdb_ijs_directors,firstname,No,False
adventureworks2014_salesterritory,Name,ukdebate,country,No,False
adventureworks2014_salesterritory,Name,word_university_rank_2020,Country,Yes,True
adventureworks2014_salesterritory,Name,ukdebate,region,Yes,True
adventureworks2014_salesterritory,Name,adventureworks2014_currency,Name,No,False
adventureworks2014_salesterritory,Name,world_city,CountryCode,Yes,True
adventureworks2014_salesterritory,Name,edu,country,Yes,True
adventureworks2014_salesterritory,Name,google_books_dataset,language,No,False
adventureworks2014_salesterritory,Name,world_countrylanguage,CountryCode,Yes,True
adventureworks2014_salesterritory,Name,countries_metadatacountries,CountryCode,Yes,True
adventureworks2014_salesterritory,Name,countries_target,CountryCode,Yes,True
adventureworks2014_salesterritory,Name,countries_data,CountryCode,Yes,True
adventureworks2014_salesterritory,Name,colors,name,No,False
adventureworks2014_salesterritory,Name,themes,name,No,False
adventureworks2014_salesterritory,Name,whr2015,Country,Yes,True
adventureworks2014_salesterritory,Name,trains_trains,direction,No,False
adventureworks2014_salesterritory,Name,ukdebate,city,No,False
adventureworks2014_salesterritory,Name,adventureworks2014_employee,NationalIDNumber,No,False
affirmative_asylum,ContinentCountryofNationality,affirmative_asylum,ContinentCountryofNationality,Yes,True
affirmative_asylum,ContinentCountryofNationality,world_country,Continent,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_and_continents,Continent,No,False
affirmative_asylum,ContinentCountryofNationality,fifa_ranking,country_full,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_metadatacountries,Region,No,False
affirmative_asylum,ContinentCountryofNationality,hfi_cc_2018,countries,Yes,True
affirmative_asylum,ContinentCountryofNationality,hfi_cc_2018,region,Yes,True
affirmative_asylum,ContinentCountryofNationality,whr2015,Region,Yes,True
affirmative_asylum,ContinentCountryofNationality,population_by_country_2020,CountryDependency,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_of_the_world,Region,No,False
affirmative_asylum,ContinentCountryofNationality,adventureworks2014_countryregioncurrency,CountryRegionCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,world_country,Region,Yes,True
affirmative_asylum,ContinentCountryofNationality,adventureworks2014_countryregion,CountryRegionCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,world-cities,subcountry,No,False
affirmative_asylum,ContinentCountryofNationality,adventureworks2014_stateprovince,CountryRegionCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,gender_development,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,adventureworks2014_salesterritory,CountryRegionCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,whr2015,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_of_the_world,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,world_countries_env_vars,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,language,macroarea,Yes,True
affirmative_asylum,ContinentCountryofNationality,edu,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,directory,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,adventureworks2014_salesterritory,Group,Yes,True
affirmative_asylum,ContinentCountryofNationality,language,countrycodes,Yes,True
affirmative_asylum,ContinentCountryofNationality,fifa_ranking,confederation,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_metadatacountries,CountryName,Yes,True
affirmative_asylum,ContinentCountryofNationality,moviesonstreamingplatforms_updated,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,netflix_titles,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,world-cities,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_and_continents,ISO4217-currency_country_name,Yes,True
affirmative_asylum,ContinentCountryofNationality,acquisitions,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,movies,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,usa_cars_datasets,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,movie_metadata,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,ukdebate,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_and_continents,official_name_en,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_data,CountryName,Yes,True
affirmative_asylum,ContinentCountryofNationality,cwurdata,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,word_university_rank_2020,Country,Yes,True
affirmative_asylum,ContinentCountryofNationality,us_companies_copy,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,us_companies,country,Yes,True
affirmative_asylum,ContinentCountryofNationality,fifa_ranking,country_abrv,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_metadatacountries,CountryCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_target,CountryCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,world_countrylanguage,CountryCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,word_university_rank_2020,International_Outlook,No,False
affirmative_asylum,ContinentCountryofNationality,world_city,CountryCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,countries_data,CountryCode,Yes,True
affirmative_asylum,ContinentCountryofNationality,who_suicide_statistics,country,Yes,True
countries_and_continents,name,world_country,Name,Yes,True
countries_and_continents,name,countries_and_continents,name,Yes,True
