query_table,candidate_table,query_col,candidate_col,score
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,name,name,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,name,official_name_en,0.8915
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,name,official_name_fr,0.7436
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,name,ISO4217-currency_country_name,0.7233
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_en,name,0.8915
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_en,official_name_en,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_en,official_name_fr,0.8269
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_en,ISO4217-currency_country_name,0.7456
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_fr,name,0.7436
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_fr,official_name_en,0.8269
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,official_name_fr,official_name_fr,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-2,ISO3166-1-Alpha-2,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3,0.9441
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-2,DS,0.7026
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-3,ISO3166-1-Alpha-2,0.9441
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-3,ISO3166-1-Alpha-3,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ISO3166-1-Alpha-3,IOC,0.7116
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,M49,M49,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ITU,ITU,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,ITU,IOC,0.7178
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,MARC,MARC,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,MARC,DS,0.7269
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,MARC,TLD,0.7284
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,MARC,Languages,0.8056
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,MARC,EDGAR,0.7312
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,WMO,WMO,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,DS,ISO3166-1-Alpha-2,0.7026
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,DS,MARC,0.7269
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,DS,DS,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,DS,Languages,0.7280
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,Dial,Dial,1.0000
datalake-countries_and_continents.csv,datalake-countries_and_continents.csv,FIFA,FIFA,1.0000
