candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
ArtificialSatellite_left,title,0.8788992166519165,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7",ariel 4↔ariel 4(1.00) | apollo 13↔apollo 13(1.00) | bhaskara (satellite)↔bhaskara (satellite)(1.00) | astra 1k↔astra 1k(1.00) | vinasat-2↔vinasat-2(1.00) | apollo 8↔apollo 8(1.00) | pioneer 1↔pioneer 1(1.00) | ratsat↔ratsat(1.00) | sts-41-c↔sts-41-c(1.00) | td-1a↔td-1a(1.00),200
ArtificialSatellite_right,title,0.8142493367195129,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Soyuz 7K-T No.39, Pad Abort Test 1, AS-101 (spacecraft), AS-102 (spacecraft), Spirit rover",uosat-1↔uosat-1(1.00) | geotail↔geotail(1.00) | seasat↔seasat(1.00) | ekspress-am4↔ekspress am4(0.98) | eutelsat 33a↔eutelsat 33b(0.98) | sentinel 3↔sentinel-3(0.97) | kosmos 608↔kosmos 605(0.97) | spirit (rover)↔spirit rover(0.97) | intelsat 27↔intelsat 28(0.96) | eutelsat 28a↔eutelsat 31a(0.96),72
Galaxy_right,title,0.6161653399467468,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Sagittarius Dwarf Spheroidal Galaxy, RX J1242-11, Canis Major Overdensity, Carina Dwarf Spheroidal Galaxy, NGC 34",rax-2↔rx j1242-11(0.79) | galaxy 17↔ngc 34(0.74) | galaxy 25↔ngc 1265(0.72) | gsat-4↔gr 8(0.66) | galaxy 1↔ngc 5562(0.66) | kosmos 215↔ddo 190(0.66) | mercury-atlas 6↔ngc 6872(0.66) | sts-133↔ngc 935/ic 1801(0.66) | ops 5118↔ddo 169(0.65) | kosmos 434↔3c 433(0.64),17
Galaxy_left,title,0.5948303937911987,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud",galaxy 25↔ngc 25(0.84) | galaxy 17↔ngc 17(0.83) | a-002↔a1689-zd1(0.83) | galaxy 1↔ngc 1(0.75) | kosmos 2393↔eso 306-17(0.75) | uosat-4↔ugc 8091(0.74) | yamal-402↔cid-42(0.72) | kosmos 2458↔qso b2121+248(0.72) | ftv-2203↔lbg-2377(0.72) | sts-39↔ngc 39(0.72),200
Drug_right,title,0.5609399080276489,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Bacillus Calmette-GuÃ©rin, N,N-Dimethyltryptamine, Hyoscine hydrobromide, Valproate, Interferon beta 1a",a-002↔a-372159(0.84) | gsat-14↔gr-113808(0.76) | amc-21↔mn-18(0.76) | aausat3↔afegostat(0.75) | s-45a↔s-14671(0.75) | yamal-402↔sb-399885(0.75) | p78-1↔psi-7977(0.74) | kosmos 2424↔sb-242084(0.73) | ftv-1126↔cp-93129(0.73) | kosmos 2393↔sb-258719(0.72),157
GivenName_right,title,0.5586527585983276,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Luke (name), Julia, Fatima (name), Fanny (name), Lyfing",amos-2↔amos (name)(0.87) | raiko↔raizo(0.82) | kalpana-1↔kaj(0.75) | banxing↔banu(0.74) | rasad 1↔hamad(0.74) | chandrayaan-1↔chetan (name)(0.73) | hayabusa 2↔harutyun(0.73) | suomi npp↔sujata (name)(0.72) | belka↔tuukka(0.72) | kounotori 2↔junichi(0.72),154
Device_right,title,0.5474463701248169,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Game com, Crossbow bolt, 32X, Sega CD, Tsurugi (sword)",dong fang hong i↔hongyipao(0.81) | yamal-402↔yj-62(0.78) | elektro-l no.1↔elektronika 60(0.78) | soyuz 26↔ksr-2 (russian rocket)(0.76) | kosmos 2458↔mts255(0.76) | p78-1↔kb-p-790(0.76) | fengyun 2-07↔shuangshou jian(0.76) | ftv-2203↔fnss acv-15(0.76) | niwaka↔bichuwa(0.75) | ftv-1126↔fhj-84(0.75),200
BasketballTeam_right,title,0.5340689420700073,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United",arabsat-1a↔al riyadi amman(0.78) | orion 3 (satellite)↔goyang orion orions(0.75) | hawksat i↔gent hawks(0.72) | vostok 1↔kk vojvodina srbijagas(0.72) | shenzhou 1↔shandong golden stars(0.71) | estrela do sul 1↔porta xi ensino cbf(0.70) | uosat-1↔uniqa sopron(0.70) | belka↔kk krka(0.68) | vostok 4↔sk valmiera(0.68) | kosmos 1806↔kk millenium strumica(0.67),166
Monarch_right,title,0.5295876860618591,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","Emperor Kinmei, Emperor Tenmu, Emperor Monmu, Anastasius I Dicorus, Theodoric the Great",yubileiny↔yasovarman(0.76) | chasqui i↔chaiyasiri(0.75) | ciel-2↔ciniod ii(0.75) | arabsat-1a↔qutb al-din aibak(0.73) | arabsat-1b↔imad al-dawla(0.71) | kalpana-1↔keshri singh(0.71) | adeos i↔idris i(0.70) | dong fang hong i↔shao kang(0.70) | ugatusat↔gaumata(0.70) | estrela do sul 1↔artemidoros aniketos(0.69),200
TelevisionStation_right,title,0.5075128078460693,"Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7","ITV, Fox Sports Net, Showtime (TV network), ITV1, TLC (TV network)",viasat-1↔viasat explore(0.82) | soyuz 24↔moscow 24(0.82) | sts-2↔sts (tv channel)(0.79) | vostok 4↔vrak(0.79) | kosmos 2340↔k22bi(0.79) | trace↔trace tv(0.78) | xatcobeo↔xhtao(0.78) | niwaka↔waka(0.78) | star one b4↔star gold(0.78) | asiastar↔max asia(0.77),200
