candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
Galaxy_left,title,1.0,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud",ngc 6503↔ngc 6503(1.00) | ngc 1427a↔ngc 1427a(1.00) | ngc 4911↔ngc 4911(1.00) | ngc 2500↔ngc 2500(1.00) | ugc 5497↔ugc 5497(1.00) | ngc 6240↔ngc 6240(1.00) | ngc 7320↔ngc 7320(1.00) | ngc 1399↔ngc 1399(1.00) | ursa major ii dwarf↔ursa major ii dwarf(1.00) | messier 91↔messier 91(1.00),200
Galaxy_right,title,0.8432939648628235,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Sagittarius Dwarf Spheroidal Galaxy, RX J1242-11, Canis Major Overdensity, Carina Dwarf Spheroidal Galaxy, NGC 34",ngc 1260↔ngc 1265(0.99) | ngc 5584↔ngc 5562(0.99) | ngc 6822↔ngc 6872(0.97) | ngc 3486↔ngc 34(0.96) | segue 1↔segue 2(0.96) | 3c 452↔3c 433(0.91) | sagittarius dwarf irregular galaxy↔sagittarius dwarf spheroidal galaxy(0.91) | rxj1242-11↔rx j1242-11(0.88) | ms 1512 +36-cb58↔ms 1512-cb58(0.87) | ngc 7314↔ngc 935/ic 1801(0.86),17
ArtificialSatellite_left,title,0.5862731337547302,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7",cygnus a↔cygnus 1(0.94) | ngc 25↔galaxy 25(0.84) | ngc 17↔galaxy 17(0.83) | ngc 19↔galaxy 19(0.83) | a1689-zd1↔a-003(0.82) | ngc 15↔galaxy 15(0.82) | ngc 11↔galaxy 11(0.79) | cassiopeia dwarf↔cassiope(0.78) | ngc 1↔galaxy 1(0.75) | ic 342↔ops 3762(0.73),200
ArtificialSatellite_right,title,0.5608132481575012,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Soyuz 7K-T No.39, Pad Abort Test 1, AS-101 (spacecraft), AS-102 (spacecraft), Spirit rover",cygnus a↔cygnus orb-d1(0.76) | ngc 2903↔orion 3(0.74) | ugc 8091↔uosat-1(0.72) | eso 540-030↔nee-01 pegaso(0.70) | ngc 1350↔telstar 14(0.68) | ugc 8331↔uo-11(0.66) | a1689-zd1↔kosmos 605(0.66) | lbg-2377↔usa-242(0.65) | ic 1101↔irnss-1a(0.64) | 3c 295↔dragon c3(0.63),72
Drug_right,title,0.5266783833503723,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Bacillus Calmette-GuÃ©rin, N,N-Dimethyltryptamine, Hyoscine hydrobromide, Valproate, Interferon beta 1a",udfj-39546284↔cj-033466(0.86) | udfy-38135539↔sb-216641(0.84) | lbg-2377↔ly-293284(0.83) | rxj1242-11↔ro 04-6790(0.82) | a1689-zd1↔sb-699551(0.81) | pgc 39058↔cp-94253(0.79) | sxdf-nb1006-2↔sb-204070(0.79) | ugc 6945↔gs 7340(0.78) | pgc 214560↔cp-93129(0.78) | ugc 5692↔gw501516(0.78),157
Drug_left,title,0.5024381279945374,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Aspirin, Ampicillin, Amphetamine, Amoxicillin, BCG vaccine","udfj-39546284↔sep-225289(0.82) | am 0644-741↔am-1235(0.80) | lbg-2377↔tc-1698(0.77) | ic 3418↔lu aa-33810(0.77) | ngc 4780↔ngd-4715(0.75) | 3c 75↔3c-p(0.75) | a1689-zd1↔lcz696(0.75) | macs0647-jd↔macitentan(0.74) | ugc 6945↔u-69,593(0.74) | leda 074886↔ang1005(0.73)",200
TelevisionStation_right,title,0.5019596815109253,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","ITV, Fox Sports Net, Showtime (TV network), ITV1, TLC (TV network)",a1689-zd1↔k61ga(0.82) | sxdf-nb1006-2↔k47df-d2(0.78) | rxj1242-11↔k22ja-d(0.78) | ugc 5692↔k58gc(0.76) | cid-42↔w47ei-d(0.76) | udfj-39546284↔k59dj(0.75) | ugc 6945↔w29ci(0.75) | lbg-2377↔k27lf-d(0.75) | hudf-jd2↔k43hb-d(0.72) | udfy-38135539↔k04qr-d(0.71),200
Device_right,title,0.4916817247867584,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Game com, Crossbow bolt, 32X, Sega CD, Tsurugi (sword)",sxdf-nb1006-2↔tkb-011 2m(0.80) | a1689-zd1↔x68000(0.77) | udfj-39546284↔fhj-84(0.77) | ugc 5497↔t54(0.74) | ngc 925↔i8520 (galaxy beam)(0.73) | centaurus a↔centurion (tank)(0.73) | comet galaxy↔comet (tank)(0.73) | lbg-2377↔rs-122(0.73) | ugc 6945↔t95(0.73) | macs1149-jd↔mts255(0.72),200
Device_left,title,0.4903685450553894,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","MessagePad, Apple I, AK-47, Amiga, Acorn Electron",tn j0924-2201↔tn 753(0.85) | centaurus a↔b1 centauro(0.80) | rd1↔rds-1(0.79) | a1689-zd1↔l42a1(0.77) | draco dwarf↔alpha draco(0.73) | cassiopeia dwarf↔casspir(0.71) | maffei 1↔cei-rigotti(0.69) | mrc 1138-262↔stridsvagn m/21-29(0.67) | aquarius dwarf↔mattel aquarius(0.67) | eso 510-g13↔treo 700w(0.67),200
GivenName_right,title,0.4848708510398865,"Large Magellanic Cloud, Andromeda Galaxy, Hoag's Object, Messier 100, Small Magellanic Cloud","Luke (name), Julia, Fatima (name), Fanny (name), Lyfing",leda 074886↔edwina(0.71) | i zwicky 18↔ziemowit(0.70) | malin 1↔keon(0.68) | markarian 501↔mark (name)(0.66) | dwingeloo 1↔dzintars(0.65) | zw ii 96↔zvonimir(0.65) | tucana dwarf↔tuukka(0.65) | virgohi21↔junichi(0.64) | maffei 2↔maki (name)(0.63) | ugc 8091↔uldis(0.63),154
