Held Office
Jul 30 1777; Jul 1 1801
Jul 1 1801; Jul 1 1804
Jul 1 1804; Jul 1 1807
Jul 1 1807; Feb 24 1817
Feb 24 1817; Jul 1 1817
Jan 1 1823; Dec 31 1824
Jan 1 1825; Feb 11 1828
Feb 11 1828; Dec 31 1828
Jan 1 1829; Mar 5 1829
Mar 5 1829; Dec 31 1832
Jan 1 1833; Dec 31 1838
Jan 1 1839; Dec 31 1842
Jan 1 1843; Dec 31 1844
Jan 1 1845; Dec 31 1846
Jan 1 1847; Dec 31 1848
Jan 1 1851; Dec 31 1852
Jan 1 1855; Dec 31 1856
Jan 1 1857; Dec 31 1858
Jan 1 1859; Dec 31 1862
Jan 1 1863; Dec 31 1864
Jan 1 1865; Dec 31 1868
Jan 1 1869; Dec 31 1872
Jan 1 1873; Dec 31 1874
Jan 1 1875; Dec 31 1876
Jan 1 1877; Dec 31 1879
Jan 1 1880; Dec 31 1882
Jan 1 1883; Jan 6 1885
Jan 6 1885; Dec 31 1891
Jan 1 1892; Dec 31 1894
Jan 1 1895; Dec 31 1896
Jan 1 1897; Dec 31 1898
Jan 1 1901; Dec 31 1904
Jan 1 1905; Dec 31 1906
Jan 1 1907; Oct 6 1910
Oct 6 1910; Dec 31 1910
Jan 1 1911; Dec 31 1912
Jan 1 1913; Oct 17 1913
Oct 17 1913; Dec 31 1914
Jan 1 1915; Dec 31 1918
Jan 1 1921; Dec 31 1922
Jan 1 1923; Dec 31 1928
Jan 1 1929; Dec 31 1932
Jan 1 1933; Dec 3 1942
Dec 3 1942; Dec 31 1942
Jan 1 1943; Dec 31 1954
Jan 1 1955; Dec 31 1958
Jan 1 1959; Dec 18 1973
JJan 1 1899; Dec 31 1900
Jan 1 1849 -Dec 31 1850
Dec 18 1973; Dec 31 1974
Jan 1 1975; Dec 31 1982
Jan 1 1983; Dec 31 1994
Jan 1 1995; Dec 31 2006
Jan 1 2007; Mar 17 2008
Mar 17 2008; Jan 1 2011
Jan 1 2011; Incumbent
