Years in Office
January 20 2015 - January 15 2019
December 21 2000 - January 20 2015
January 17 1995 - December 21 2000
January 15 1991 - January 17 1995
January 18 1983 - January 20 1987
January 20 1987 - January 15 1991; January 16 1979 - January 18 1983
January 16 1973 - January 16 1979
January 21 1969 - January 16 1973
January 15 1963 - January 21 1969
January 15 1957 - January 15 1963
July 11 1949 - January 15 1957
January 21 1947 - July 11 1949
August 4 1941 - January 21 1947
January 17 1939 - August 4 1941
January 15 1935 - January 17 1939
January 20 1931 - January 17 1933
January 17 1927 - January 20 1931
January 17 1933 - January 15 1935; January 20 1925 - January 17 1927
January 18 1921 - January 20 1925
August 25 1917 - January 18 1921
January 19 1915 - August 25 1917
January 17 1911 - January 19 1915
January 15 1907 - January 17 1911
January 20 1903 - January 15 1907
January 17 1899 - January 20 1903
January 15 1895 - January 17 1899
January 20 1891 - January 15 1895
January 18 1887 - January 20 1891
January 16 1883 - January 18 1887
January 21 1879 - January 16 1883
December 1 1876 - January 21 1879
January 15 1874 - December 21 1876
January 8 1870 - January 15 1874
August 9 1866 - August 8 1867
June 17 1865 - August 9 1866
November 5 1863 - June 17 1865
November 7 1861 - November 5 1863
March 16 1861 - November 7 1861
December 21 1859 - March 16 1861
December 21 1857 - December 21 1859
June 8 1867 - September 30 1869; December 21 1853 - December 21 1857
November 23 1853 - December 21 1853
December 21 1849 - November 23 1853
December 21 1847 - December 21 1849
February 19 1846 - December 21 1847
