Governor
George Clinton; (26 Jul 1739 - 20 Apr 1812)
John Jay; (12 Dec 1745 - 17 May 1829)
George Clinton; (26 Jul 1739 - 20 Apr 1812)
Morgan Lewis; (16 Oct 1754 - 7 Apr 1844)
Daniel D. Tompkins; (21 Jun 1774 - 11 Jun 1825)
John Tayler; (4 Jul 1742 - 19 Mar 1829)
De Witt Clinton; (2 Mar 1769 - 11 Feb 1828)
Joseph C. Yates; (9 Nov 1768 - 19 Mar 1837)
De Witt Clinton; (2 Mar 1769 - 11 Feb 1828)
Nathaniel Pitcher; (1777 - 1836)
Martin Van Buren; (5 Dec 1782 - 24 Jul 1862)
Enos T. Throop; (21 Aug 1784 - 1 Nov 1874)
William L. Marcy; (12 Dec 1786 - 4 Jul 1857)
William H. Seward; (16 May 1801 – 10 Oct 1872)
William C. Bouck; (1796 – 1859)
Silas Wright; (24 May 1795 – 27 Aug 1847)
John Young; (12 Jun 1802 – 23 Apr 1852)
Hamilton Fish; (3 Aug 1808 – 7 Sep 1893)
Washington Hunt; (1811 – 1867)
Horatio Seymour; (31 May 1810 – 12 Feb 1886)
Myron H. Clark; (1806 – 1892)
John A. King; (1788 – 1867)
Edwin D. Morgan; (8 Feb 1811 – 14 Feb 1883)
Horatio Seymour; (31 May 1810 – 12 Feb 1886)
Reuben E. Fenton; (4 Jul 1819 – 15 Aug 1885)
John T. Hoffman; (10 Jan 1828 – 24 Mar 1888)
John Adams Dix; (24 Jul 1798 – 21 Apr 1879)
Samuel J. Tilden; (9 Feb 1814 – 4 Aug 1886)
Lucius Robinson; (4 Nov 1810 – 23 May 1886)
Alonzo B. Cornell; (22 Jan 1832 – 15 Oct 1904)
Grover Cleveland; (18 Mar 1837 – 24 Jun 1908)
David B. Hill; (29 Aug 1843 – 20 Oct 1910)
Roswell P. Flower; (7 Aug 1835 – 12 May 1899)
Frank S. Black; (8 Mar 1853 – 22 Mar 1913)
Theodore Roosevelt; (27 Oct 1858 – 6 Jan 1919)
Frank W. Higgins; (18 Aug 1856 – 12 Feb 1907)
Charles Evans Hughes; (11 Apr 1862 – 27 Aug 1948)
Horace White; (7 Oct 1865 – 26 Nov 1943)
John Alden Dix; (25 Dec 1860 – 9 Apr 1928)
William Sulzer; (18 Mar 1863 – 6 Nov 1941)
Martin H. Glynn; (27 Sep 1871 – 14 Dec 1924)
Charles S. Whitman; (29 Sep 1868 – 29 Mar 1947)
Alfred E. Smith; (30 Dec 1873 – 4 Oct 1944)
Nathan L. Miller; (30 Jan 1882 – 12 Apr 1945)
Alfred E. Smith; (30 Dec 1873 – 4 Oct 1944)
Franklin D. Roosevelt; (30 Jan 1882 – 12 Apr 1945)
Herbert H. Lehman; (28 Mar 1878 – 5 Dec 1963)
Charles Poletti; (2 Jul 1903 – 8 Aug 2002)
Thomas E. Dewey; (24 Mar 1902 – 16 Mar 1971)
W. Averell Harriman; (15 Nov 1891 – 26 Jul 1986)
Nelson A. Rockefeller; (8 July 1908 – 26 Jan 1979)
Malcolm Wilson; (26 Feb 1914 – 13 Mar 2000)
Hugh L. Carey; (11 Apr 1919 -)
Mario M. Cuomo; (15 Jun 1932 -)
George E. Pataki; (24 Jun 1945 -)
Eliot Spitzer; (10 June 1959 -)
David Paterson; (20 May 1954 -)
Andrew Cuomo
