Governor's Name
Gov. David A. Paterson
Gov. Eliot Spitzer
Gov. George E. Pataki
Gov. Mario Matthew Cuomo
Gov. Hugh Leo Carey
Gov. Malcolm Wilson
Gov. Nelson Aldrich Rockefeller
Gov. William Averell Harriman
Gov. Thomas Edmund Dewey
Gov. Charles Poletti
Gov. Herbert Henry Lehman
Gov. Franklin Delano Roosevelt
Gov. Nathan Lewis Miller
Gov. Charles Seymour Whitman
Gov. Martin Henry Glynn
Gov. William Sulzer
Gov. John Alden Dix
Gov. Horace White
Gov. Charles Evans Hughes
Gov. Francis Wayland Higgins
Gov. Benjamin Baker Odell
Gov. Theodore Roosevelt
Gov. Frank Swett Black
Gov. Roswell Pettibone Flower
Gov. David Bennett Hill
