Term of office
April 30 1789; –; March 4 1797;
April 30 1789; –; March 4 1797;
March 4 1797; –; March 4 1801;
March 4 1801; –; March 4 1809;
March 4 1801; –; March 4 1809;
March 4 1809; –; March 4 1817;
March 4 1809; –; March 4 1817;
March 4 1809; –; March 4 1817;
March 4 1809; –; March 4 1817;
March 4 1817; –; March 4 1825;
March 4 1817; –; March 4 1825;
March 4 1825; –; March 4 1829;
March 4 1829; –; March 4 1837;
March 4 1829; –; March 4 1837;
March 4 1829; –; March 4 1837;
March 4 1837; –; March 4 1841;
March 4 1841; –; April 4 1841;
April 4 1841; –; March 4 1845;
April 4 1841; –; March 4 1845;
March 4 1845; –; March 4 1849;
March 4 1849; –; July 9 1850;
July 9 1850; –; March 4 1853;
March 4 1853; –; March 4 1857;
March 4 1853; –; March 4 1857;
March 4 1857; –; March 4 1861;
March 4 1861; –; April 15 1865;
March 4 1861; –; April 15 1865;
April 15 1865; –; March 4 1869;
March 4 1869; –; March 4 1877;
March 4 1869; –; March 4 1877;
March 4 1869; –; March 4 1877;
March 4 1877; –; March 4 1881;
March 4 1881; –; September 19 1881;
September 19 1881; –; March 4 1885;
March 4 1885; –; March 4 1889;
March 4 1885; –; March 4 1889;
March 4 1889; –; March 4 1893;
March 4 1893; –; March 4 1897;
March 4 1897; –; September 14 1901;
March 4 1897; –; September 14 1901;
March 4 1897; –; September 14 1901;
September 14 1901; –; March 4 1909;
September 14 1901; –; March 4 1909;
March 4 1909; –; March 4 1913;
March 4 1909; –; March 4 1913;
March 4 1913; –; March 4 1921;
March 4 1913; –; March 4 1921;
March 4 1921; –; August 2 1923;
August 2 1923; –; March 4 1929;
August 2 1923; –; March 4 1929;
March 4 1929; –; March 4 1933;
March 4 1933; –; April 12 1945;
March 4 1933; –; April 12 1945;
March 4 1933; –; April 12 1945;
March 4 1933; –; April 12 1945;
April 12 1945; –; January 20 1953;
April 12 1945; –; January 20 1953;
January 20 1953; –; January 20 1961;
January 20 1953; –; January 20 1961;
January 20 1961; –; November 22 1963;
November 22 1963; –; January 20 1969;
November 22 1963; –; January 20 1969;
January 20 1969; –; August 9 1974;
January 20 1969; –; August 9 1974;
January 20 1969; –; August 9 1974;
January 20 1969; –; August 9 1974;
August 9 1974; –; January 20 1977;
August 9 1974; –; January 20 1977;
January 20 1977; –; January 20 1981;
January 20 1981; –; January 20 1989;
January 20 1981; –; January 20 1989;
January 20 1989; –; January 20 1993;
January 20 1993; –; January 20 2001;
January 20 1993; –; January 20 2001;
January 20 2001; –; January 20 2009;
January 20 2001; –; January 20 2009;
January 20 2009; –; Incumbent;
January 20 2009; –; Incumbent;
