Name (Tenure)
George Clinton (1777 - 1795)
John Jay (1795 - 1801)
George Clinton (1801 - 1804)
Morgan Lewis (1804 - 1807)
Daniel D. Tompkins (1807 - 1817)
John Tayler (1817 - 1817)
Dewitt Clinton (1817 - 1823)
Joseph Christopher Yates (1823 - 1825)
Dewitt Clinton (1825 - 1828)
Nathaniel Pitcher (1828 - 1829)
Martin Van Buren (1829)
Enos Thompson Throop (1829 - 1833)
William Learned Marcy (1833 - 1839)
William Henry Seward (1839 - 1843)
William C. Bouck (1843 - 1845)
Silas Wright (1845 - 1847)
John Young (1847 - 1849)
Hamilton Fish (1849 - 1851)
Washington Hunt (1851 - 1853)
Horatio Seymour (1853 - 1855)
Myron Holley Clark (1855 - 1857)
John Alsop King (1857 - 1859)
Edwin Denison Morgan (1859 - 1863)
Horatio Seymour (1863 - 1865)
Reuben Eaton Fenton (1865 - 1869)
John Thompson Hoffman (1869 - 1873)
John Adams Dix (1872 - 1874)
Samuel Jones Tilden (1875 - 1877)
Lucius Robinson (1877 - 1880)
Alonzo Barton Cornell (1880 - 1883)
Steven Grover Cleveland (1883 - 1885)
David Bennett Hill (1885 - 1892)
Roswell Pettibone Flower (1892 - 1895)
Frank Swett Black (1897 - 1899)
Theodore Roosevelt (1899 - 1901)
Benjamin Baker Odell (1901 - 1905)
Francis Wayland Higgins (1905 - 1907)
Charles Evans Hughes (1907 - 1910)
Horace White (1910 - 1911)
John Alden Dix (1910 - 1912)
William Sulzer (1913 - 1913)
Martin Henry Glynn (1913 - 1915)
Charles Seymour Whitman (1915 - 1919)
Alfred Emanuel Smith (1919 - 1921)
Nathan Lewis Miller (1921 - 1923)
Alfred Emanuel Smith (1923 - 1929)
Franklin Delano Roosevelt (1929 - 1933)
Herbert Henry Lehman (1933 - 1942)
Charles Poletti (1942 - 1943)
Thomas Edmund Dewey (1943 - 1955)
William Averell Harriman (1955 - 1959)
Nelson Aldrich Rockefeller (1959 - 1973)
Malcolm Wilson (1973 - 1975)
Hugh Leo Carey (1974 - 1982)
Mario Matthew Cuomo (1983 - 1995)
George Pataki (1995 - 2007)
Eliot Spitzer (2007 - 2008)
David Paterson (2008 - 2011)
Andrew Cuomo (2011 - present)
