Governor's Name
Gov. Rick Perry
Gov. George W. Bush
Gov. Dorothy Ann Willis Richards
Gov. Mark White
Gov. Dolph Briscoe
Gov. Preston Smith
Gov. John Bowden Connally
Gov. Price Daniel
Gov. Allan Shivers
Gov. Beauford Halbert Jester
Gov. Coke R. Stevenson
Gov. Wilbert Lee O'Daniel
Gov. James V. Allred
Gov. Ross S. Sterling
Gov. Daniel J. Moody
Gov. Pat Morris Neff
Gov. William Pettus Hobby
Gov. James Edward Ferguson
Gov. Oscar Branch Colquitt
Gov. Thomas Mitchell Campbell
Gov. Samuel Willis Tucker Lanham
Gov. Joseph Draper Sayers
Gov. Charles Allen Culberson
Gov. James Stephen Hogg
Gov. Lawrence Sullivan Ross
