Legislatures as Governor*
84th
76th – 84th
74th – 76th
72nd – 74th
68th – 70th
70th - 72nd; 66th - 68th
63rd – 66th
61st – 63rd
58th – 61st
55th – 58th
51st – 55th
50th – 51st
47th – 50th
46th – 47th
44th – 46th
42nd – 43rd
40th – 42nd
43rd - 44th; 39th - 40th
37th – 39th
35th – 37th
34th – 35th
32nd – 34th
30th – 32nd
28th – 30th
26th – 28th
24th – 26th
22nd – 24th
20th – 22nd
18th – 20th
16th – 18th
15th – 16th
14th – 15th
11th – 14th
11th
10th – 11th
10th
9th – 10th
8th – 9th
8th
7th – 8th
11th; 5th - 7th
5th
3rd – 5th
2nd – 3rd
1st – 2nd
