President
George Washington; February 22 1732 – December 14 1799; (aged 67);
George Washington; February 22 1732 – December 14 1799; (aged 67);
John Adams; October 30 1735 – July 4 1826; (aged 90);
Thomas Jefferson; April 13 1743 – July 4 1826; (aged 83);
Thomas Jefferson; April 13 1743 – July 4 1826; (aged 83);
James Madison; March 16 1751 – June 28 1836; (aged 85);
James Madison; March 16 1751 – June 28 1836; (aged 85);
James Monroe; April 28 1758 – July 4 1831; (aged 73);
James Monroe; April 28 1758 – July 4 1831; (aged 73);
John Quincy Adams; July 11 1767 – February 23 1848; (aged 80);
Andrew Jackson; March 15 1767 – June 8 1845; (aged 78);
Andrew Jackson; March 15 1767 – June 8 1845; (aged 78);
Martin Van Buren; December 5 1782 – July 24 1862; (aged 79);
William Henry Harrison; February 9 1773 – April 4 1841; (aged 68);
John Tyler; March 29 1790 – January 18 1862; (aged 71);
John Tyler; March 29 1790 – January 18 1862; (aged 71);
James K. Polk; November 2 1795 – June 15 1849; (aged 53);
Zachary Taylor; November 24 1784 – July 9 1850; (aged 65);
Millard Fillmore; January 7 1800 – March 8 1874; (aged 74);
Franklin Pierce; November 23 1804 – October 8 1869; (aged 64);
James Buchanan; April 23 1791 – June 1 1868; (aged 77);
Abraham Lincoln; February 12 1809 – April 15 1865; (aged 56);
Abraham Lincoln; February 12 1809 – April 15 1865; (aged 56);
Andrew Johnson; December 29 1808 – July 31 1875; (aged 66);
Ulysses S. Grant; April 27 1822 – July 23 1885; (aged 63);
Ulysses S. Grant; April 27 1822 – July 23 1885; (aged 63);
Rutherford B. Hayes; October 4 1822 – January 17 1893; (aged 70);
James A. Garfield; November 19 1831 – September 19 1881; (aged 49);
Chester A. Arthur; October 5 1829 – November 18 1886; (aged 57);
Grover Cleveland; March 18 1837 – June 24 1908; (aged 71);
Benjamin Harrison; August 20 1833 – March 13 1901; (aged 67);
Grover Cleveland; March 18 1837 – June 24 1908; (aged 71);
William McKinley; January 29 1843 – September 14 1901; (aged 58);
William McKinley; January 29 1843 – September 14 1901; (aged 58);
Theodore Roosevelt; October 27 1858 – January 6 1919; (aged 60);
Theodore Roosevelt; October 27 1858 – January 6 1919; (aged 60);
William Howard Taft; September 15 1857 – March 8 1930; (aged 72);
Woodrow Wilson; December 28 1856 – February 3 1924; (aged 67);
Woodrow Wilson; December 28 1856 – February 3 1924; (aged 67);
Warren G. Harding; November 2 1865 – August 2 1923; (aged 57);
Calvin Coolidge; July 4 1872 – January 5 1933; (aged 60);
Calvin Coolidge; July 4 1872 – January 5 1933; (aged 60);
Herbert Hoover; August 10 1874 – October 20 1964; (aged 90);
Franklin D. Roosevelt; January 30 1882 – April 12 1945; (aged 63);
Franklin D. Roosevelt; January 30 1882 – April 12 1945; (aged 63);
Franklin D. Roosevelt; January 30 1882 – April 12 1945; (aged 63);
Franklin D. Roosevelt; January 30 1882 – April 12 1945; (aged 63);
Harry S. Truman; May 8 1884 – December 26 1972; (aged 88);
Harry S. Truman; May 8 1884 – December 26 1972; (aged 88);
Dwight D. Eisenhower; October 14 1890 – March 28 1969; (aged 78);
Dwight D. Eisenhower; October 14 1890 – March 28 1969; (aged 78);
John F. Kennedy; May 29 1917 – November 22 1963; (aged 46);
Lyndon B. Johnson; August 27 1908 – January 22 1973; (aged 64);
Lyndon B. Johnson; August 27 1908 – January 22 1973; (aged 64);
Richard Nixon; January 9 1913 – April 22 1994; (aged 81);
Richard Nixon; January 9 1913 – April 22 1994; (aged 81);
Gerald Ford; July 14 1913 – December 26 2006; (aged 93);
Jimmy Carter; Born: October 1 1924 (age 91);
Ronald Reagan; February 6 1911 – June 5 2004; (aged 93);
Ronald Reagan; February 6 1911 – June 5 2004; (aged 93);
George H. W. Bush; Born: June 12 1924 (age 91);
Bill Clinton; Born: August 19 1946 (age 69);
Bill Clinton; Born: August 19 1946 (age 69);
George W. Bush; Born: July 6 1946 (age 69);
George W. Bush; Born: July 6 1946 (age 69);
Barack Obama; Born: August 4 1961 (age 54);
Barack Obama; Born: August 4 1961 (age 54);
