Term of office
July 30 1777; –; June 30 1795
July 1 1795; –; June 30 1801
July 1 1801; –; June 30 1804
July 1 1804; –; June 30 1807
July 1 1807; –; February 24 1817
February 24 1817; –; June 30 1817
July 1 1817; –; December 31 1822
January 1 1823; –; December 31 1824
January 1 1825; –; February 11 1828
February 11 1828; –; December 31 1828
January 1 1829; –; March 12 1829
March 12 1829; –; December 31 1832
January 1 1833; –; December 31 1838
January 1 1839; –; December 31 1842
January 1 1843; –; December 31 1844
January 1 1845; –; December 31 1846
January 1 1847; –; December 31 1848
January 1 1849; –; December 31 1850
January 1 1851; –; December 31 1852
January 1 1853; –; December 31 1854
January 1 1855; –; December 31 1856
January 1 1857; –; December 31 1858
January 1 1859; –; December 31 1862
January 1 1863; –; December 31 1864
January 1 1865; –; December 31 1868
January 1 1869; –; December 31 1872
January 1 1873; –; December 31 1874
January 1 1875; –; December 31 1876
January 1 1877; –; December 31 1879
January 1 1880; –; December 31 1882
January 1 1883; –; January 6 1885
January 6 1885; –; December 31 1891
January 1 1892; –; December 31 1894
January 1 1895; –; December 31 1896
January 1 1897; –; December 31 1898
January 1 1899; –; December 31 1900
January 1 1901; –; December 31 1904
January 1 1905; –; December 31 1906
January 1 1907; –; October 6 1910
October 6 1910; –; December 31 1910
January 1 1911; –; December 31 1912
January 1 1913; –; October 17 1913
October 17 1913; –; December 31 1914
January 1 1915; –; December 31 1918
January 1 1919; –; December 31 1920
January 1 1921; –; December 31 1922
January 1 1923; –; December 31 1928
January 1 1929; –; December 31 1932
January 1 1933; –; December 3 1942
December 3 1942; –; December 31 1942
January 1 1943; –; December 31 1954
January 1 1955; –; December 31 1958
January 1 1959; –; December 18 1973
December 18 1973; –; December 31 1974
January 1 1975; –; December 31 1982
January 1 1983; –; December 31 1994
January 1 1995; –; December 31 2006
January 1 2007; –; March 17 2008
March 17 2008; –; December 31 2010
January 1 2011; –; Incumbent
