Term in office
December 20 1849; –; January 9 1851
January 9 1851; –; January 8 1852
January 8 1852; –; January 9 1856
January 8 1852; –; January 9 1856
January 9 1856; –; January 8 1858
January 8 1858; –; January 9 1860
January 9 1860; –; January 14 1860
January 14 1860; –; January 10 1862
January 14 1860; –; January 10 1862
January 10 1862; –; December 10 1863
December 10 1863; –; December 5 1867
December 5 1867; –; December 8 1871
December 8 1871; –; February 27 1875
February 27 1875; –; December 9 1875
December 9 1875; –; January 8 1880
January 8 1880; –; January 10 1883
January 10 1883; –; January 8 1887
January 8 1887; –; September 12 1887
September 12 1887; –; January 8 1891
January 8 1891; –; January 11 1895
January 11 1895; –; January 4 1899
January 11 1895; –; January 4 1899
January 4 1899; –; January 7 1903
January 7 1903; –; January 9 1907
January 9 1907; –; January 3 1911
January 3 1911; –; March 15 1917
January 3 1911; –; March 15 1917
January 3 1911; –; March 15 1917
January 3 1911; –; March 15 1917
March 15 1917; –; January 8 1923
March 15 1917; –; January 8 1923
January 9 1923; –; January 4 1927
January 4 1927; –; January 6 1931
January 4 1927; –; January 6 1931
January 6 1931; –; June 2 1934
June 2 1934; –; January 2 1939
June 2 1934; –; January 2 1939
January 2 1939; –; January 4 1943
January 2 1939; –; January 4 1943
January 4 1943; –; October 5 1953
January 4 1943; –; October 5 1953
January 4 1943; –; October 5 1953
October 5 1953; –; January 5 1959
October 5 1953; –; January 5 1959
January 5 1959; –; January 2 1967
January 5 1959; –; January 2 1967
January 2 1967; –; January 6 1975
January 2 1967; –; January 6 1975
January 2 1967; –; January 6 1975
January 2 1967; –; January 6 1975
January 6 1975; –; January 3 1983
January 6 1975; –; January 3 1983
January 3 1983; –; January 7 1991
January 3 1983; –; January 7 1991
January 7 1991; –; January 4 1999
January 7 1991; –; January 4 1999
January 4 1999; –; November 17 2003
January 4 1999; –; November 17 2003
November 17 2003; –; January 3 2011
November 17 2003; –; January 3 2011
November 17 2003; –; January 3 2011
January 3 2011; –; Incumbent
January 3 2011; –; Incumbent
January 3 2011; –; Incumbent
""
""
