column 0
Agarwal Pankaj K.
Astrachan Owen
Babu Shivnath
Benson Theo
Board Jr. John A.
Bryant Robert L.
Calderbank Robert
Chakrabarty Krishnendu
Chase Jeffrey S.
Conitzer Vincent
Cox Landon
Donald Bruce R.
Duvall Robert C.
Dwyer Chris
Farsiu Sina
Forbes Jeffrey R. N.
Ge Rong
Gordan Raluca-Mihaela
Hartemink Alexander J.
Hauser Kris
Heller Katherine
Hilton Andrew
Kim Jungsang
Konidaris George
Lebeck Alvin R.
Lee Benjamin C.
Lucic Richard A.
Machanavajjhala Ashwin
Maggioni Mauro
Maggs Bruce
Mukherjee Sayan
Munagala Kamesh
Panigrahi Debmalya
Parr Ronald E.
Reif John H.
Rodger Susan H.
Roy Sudeepa
Sapiro Guillermo
Schmidler Scott C.
Sorin Daniel J.
Sun Xiaobai
Tomasi Carlo
Trivedi Kishor S.
Yang Jun
Yang Xiaowei
Azhar Salman
Baldin Ilya
Edelsbrunner Herbert
Hsu Lisa R.
LaBean Thomas H.
Mølhave Thomas
Pitsianis Nikos
Biermann Alan W.
Ellis Carla Schlatter
Gallie Thomas
Loveland Donald W.
Patrick Merrell
Ramm Dietolf
Starmer C. Frank
Wagner Robert A.
