Governor
George Clinton; July 26 1739 - April 20 1812; (aged 72)
John Jay; December 23 1745 - May 17 1829; (aged 83)
George Clinton; July 26 1739 - April 20 1812; (aged 72)
Morgan Lewis; October 16 1754 - April 7 1844; (aged 89)
Daniel D. Tompkins; June 21 1774 - June 11 1825; (aged 50)
John Tayler; July 4 1742 - March 19 1829; (aged 96); (Acting)
DeWitt Clinton; March 2 1769 - February 11 1828; (aged 58)
Joseph C. Yates; November 9 1768 - March 19 1837; (aged 68)
DeWitt Clinton; March 2 1769 - February 11 1828; (aged 58)
Nathaniel Pitcher; November 30 1777 - May 25 1836; (aged 58)
Martin Van Buren; December 5 1782 - July 24 1862; (aged 79)
Enos T. Throop; August 21 1784 - November 1 1874; (aged 90)
William L. Marcy; December 12 1786 - July 4 1857; (aged 70)
William H. Seward; May 16 1801 - October 10 1872; (aged 71)
William C. Bouck; January 7 1786 - April 19 1859; (aged 73)
Silas Wright; May 24 1795 - August 27 1847; (aged 52)
John Young; June 12 1802 - April 23 1852; (aged 49)
Hamilton Fish; August 3 1808 - September 7 1893; (aged 85)
Washington Hunt; August 5 1811 - February 2 1867; (aged 55)
Horatio Seymour; May 31 1810 - February 12 1886; (aged 75)
Myron H. Clark; October 23 1806 - August 23 1892; (aged 85)
John Alsop King; January 3 1788 - July 7 1867; (aged 79)
Edwin D. Morgan; February 8 1811 - February 14 1883; (aged 72)
Horatio Seymour; May 31 1810 - February 12 1886; (aged 75)
Reuben Fenton; July 4 1819 - August 25 1885; (aged 66)
John Thompson Hoffman; January 10 1828 - March 24 1888; (aged 60)
John Adams Dix; July 24 1798 - April 21 1879; (aged 80)
Samuel J. Tilden; February 9 1814 - August 4 1886; (aged 72)
Lucius Robinson; November 4 1810 - March 23 1891; (aged 80)
Alonzo B. Cornell; January 22 1832 - October 15 1904; (aged 72)
Grover Cleveland; March 18 1837 - June 24 1908; (aged 71)
David B. Hill; August 29 1843 - October 20 1910; (aged 67)
Roswell P. Flower; August 7 1835 - May 12 1899; (aged 63)
Levi P. Morton; May 16 1824 - May 16 1920; (aged 96)
Frank S. Black; March 8 1853 - March 22 1913; (aged 60)
Theodore Roosevelt; October 27 1858 - January 6 1919; (aged 60)
Frank W. Higgins; August 18 1856 - February 12 1907; (aged 50
Charles Evans Hughes; April 11 1862 - August 27 1948; (aged 86)
Horace White; October 7 1865 - November 27 1943; (aged 78)
John Alden Dix; December 25 1860 - April 9 1928; (aged 67)
William Sulzer; March 18 1863 - November 6 1941; (aged 78)
Martin H. Glynn; September 27 1871 - December 14 1924; (aged 53)
Charles S. Whitman; September 29 1868 - March 29 1947; (aged 78)
Al Smith; December 30 1873 - October 4 1944; (aged 70)
Nathan L. Miller; October 10 1868 - June 26 1953; (aged 84)
Al Smith; December 30 1873 - October 4 1944; (aged 70)
Franklin D. Roosevelt; January 30 1882 - April 12 1945; (aged 63)
Herbert H. Lehman; March 28 1878 - December 5 1963; (aged 85)
Charles Poletti; July 2 1903 - August 8 2002; (aged 99)
Thomas Dewey; March 24 1902 - March 16 1971; (aged 68)
W. Averell Harriman; November 15 1891 - July 26 1986; (aged 94)
Nelson Rockefeller; July 8 1908 - January 26 1979; (aged 70)
Malcolm Wilson; February 26 1914 - March 13 2000; (aged 86)
Hugh Carey; April 11 1919 - August 7 2011; (aged 92)
Mario Cuomo; June 15 1932 - January 1 2015; (aged 82)
George Pataki; June 24 1945 (age 70)
Eliot Spitzer; June 10 1959 (age 56)
David Paterson; May 20 1954 (age 61)
