Chinese Hanyu Pinyin
北京市; Běijīng Shì
天津市; Tiānjīn Shì
河北省; Héběi Shěng
山西省; Shānxī Shěng
內蒙古自治区; Nèi Měnggǔ Zìzhìqū
辽宁省; Liáoníng Shěng
吉林省; Jílín Shěng
黑龙江省; Hēilóngjiāng Shěng
上海市; Shànghǎi Shì
江苏省; Jiāngsū Shěng
浙江省; Zhèjiāng Shěng
安徽省; Ānhuī Shěng
福建省; Fújiàn Shěng
江西省; Jiāngxī Shěng
山东省; Shāndōng Shěng
河南省; Hénán Shěng
湖北省; Húběi Shěng
湖南省; Húnán Shěng
广东省; Guǎngdōng Shěng
广西壮族自治区; Guǎngxī Zhuàngzú Zìzhìqū
海南省; Hǎinán Shěng
重庆市; Chóngqìng Shì
四川省; Sìchuān Shěng
贵州省; Guìzhōu Shěng
云南省; Yúnnán Shěng
西藏自治区; Xīzàng Zìzhìqū
陕西省; Shǎnxī Shěng
甘肃省; Gānsù Shěng
青海省; Qīnghǎi Shěng
宁夏回族自治区; Níngxià Huízú Zìzhìqū
新疆维吾尔自治区; Xīnjiāng Wéiwú'ěr Zìzhìqū
香港特别行政区; Xiānggǎng Tèbié Xíngzhèngqū
澳门特别行政区; Àomén Tèbié Xíngzhèngqū
台湾省; Táiwān Shěng
