query_table,query_value,candidate_table,candidate_value
artwork_left,portrait of a young woman of frankfurt (botticelli),artwork_right,"portrait of a young woman (botticelli, frankfurt)"
historicbuilding_left,christ church shelton and oxon,historicbuilding_right,"christ church, shelton and oxon"
amphibian_left,daly waters frog,amphibian_right,daly waters frog
shoppingmall_left,chesapeake square mall,shoppingmall_right,chesapeake square
televisionstation_left,mtv3 fakta,televisionstation_right,mtv fakta
motorsportseason_left,2012 fia gt3 european championship season,motorsportseason_right,2012 fia gt3 european championship
ethnicgroup_left,armenians in mexico,ethnicgroup_right,armenian immigration to mexico
governmentagency_left,ministry of road transport and highways (india),governmentagency_right,ministry of road transport and highways
ethnicgroup_left,turkmen people,ethnicgroup_right,turkmens
clericaladministrativeregion_left,diocese of ontario,clericaladministrativeregion_right,anglican diocese of ontario
hospital_left,hackensack university medical center at pascack valley,hospital_right,hackensack university medical center north at pascack valley
noble_left,philip de lalaing,noble_right,"philip, count of hoogstraten"
legislature_left,house of representatives (thailand),legislature_right,house of representatives of thailand
election_left,"burmese general election, 2010",election_right,"myanmar general election, 2010"
reptile_left,erg agama,reptile_right,erg agama
soccerleague_left,andover and district football league,soccerleague_right,andover and district saturday football league
reptile_left,collett's snake,reptile_right,collett's snake
reptile_left,common death adder,reptile_right,common death adder
song_left,pyar kiya to darna kya,song_right,pyar kiya to darna kiya
historicbuilding_left,browns bridge community church,historicbuilding_right,browns bridge church
footballleagueseason_left,2001 a-division (bhutan),footballleagueseason_right,2001 bhutan a-division
historicbuilding_left,st. mary's roman catholic church (philadelphia),historicbuilding_right,"st. mary's roman catholic church (philadelphia, pennsylvania)"
legislature_left,mauritanian parliament,legislature_right,parliament of mauritania
award_left,paeksang arts awards,award_right,paeksang arts awards
hospital_left,university hospital of north staffordshire,hospital_right,royal stoke university hospital
noble_left,dangerose de l'isle bouchard,noble_right,dangereuse de l'isle bouchard
politicalparty_left,centre right alliance,politicalparty_right,centre right alliance (romania)
motorsportseason_left,2009 european rally championship season,motorsportseason_right,2009 european rally championship
race_left,sa derby,race_right,south australian derby
drug_left,pivalylbenzhydrazine,drug_right,pivhydrazine
country_left,zimbabwe-rhodesia,country_right,zimbabwe rhodesia
unitofwork_left,prima paint corp. v. flood & conklin mfg. co.,unitofwork_right,prima paint corp. v. flood & conklin manufacturing co.
hospital_left,university of illinois medical center,hospital_right,university of illinois hospital & health sciences system
song_left,awara hoon,song_right,awaara hoon
noble_left,frederick ii of legnica,noble_right,"frederick ii, duke of legnica"
hospital_left,university hospital of south manchester,hospital_right,university hospital of south manchester nhs foundation trust
race_left,"1,000 guineas stakes",race_right,1000 guineas stakes
country_left,colony of santiago (jamaica),country_right,colony of santiago
award_left,writers guild of america award for television: episodic drama,award_right,writers guild of america award for best screenplay â episodic drama
magazine_left,owl (magazine),magazine_right,owl (magazine)
legislature_left,national assembly (republic of china),legislature_right,national assembly of the republic of china
reptile_left,mount cooper striped lerista,reptile_right,mount cooper striped lerista
wrestler_left,john l. sullivan (wrestler),wrestler_right,johnny valiant
ethnicgroup_left,polish australian,ethnicgroup_right,polish australians
legislature_left,argentine national congress,legislature_right,national congress of argentina
basketballteam_left,bintulu rainbow bc,basketballteam_right,bintulu rainbow b.c.
unitofwork_left,"greenbelt cooperative publishing association, inc. v. bresler",unitofwork_right,"greenbelt cooperative publishing ass'n, inc. v. bresler"
tournament_left,manulife financial lpga classic,tournament_right,manulife lpga classic
soccerleague_left,scottish premier under-20 league,soccerleague_right,spfl development league
shoppingmall_left,lakeview square,shoppingmall_right,lakeview square mall
footballmatch_left,1988 dfb cup final,footballmatch_right,1988 dfb-pokal final
basketballteam_left,club baloncesto ciudad de algeciras,basketballteam_right,cb ciudad de algeciras
sportsleague_left,omani super cup,sportsleague_right,oman super cup
magazine_left,blitz (newspaper),magazine_right,blitz (magazine)
clericaladministrativeregion_left,syro-malabar catholic diocese of belthangady,clericaladministrativeregion_right,syro-malabar catholic eparchy of belthangady
