query_table,query_column,query_index,candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values
Monarch_left.csv,title,1,Monarch_left,title,0.5301321148872375,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos"
Monarch_left.csv,title,1,Monarch_right,title,0.5262153744697571,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Emperor Kinmei, Emperor Tenmu, Emperor Monmu, Anastasius I Dicorus, Theodoric the Great"
Monarch_left.csv,title,1,target_003894,title,0.4801315665245056,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Peter, Linus, Anacletus, Clement I, Evaristus"
Monarch_left.csv,title,1,Country_right,title,0.47701284289360046,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Kosovo (region), Myanmar, Qing dynasty, Special administrative regions of China, Kingdom of Northumbria"
Monarch_left.csv,title,1,target_055659,title,0.47290509939193726,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Baghdad, Homs, Maiduguri, Muqdadiyah, Taji"
Monarch_left.csv,title,1,target_029248,title,0.4707551896572113,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Ethan Allen, Aldrich Ames, Anthony Babington, Nathaniel Bacon, Vasco Nuñez de Balboa"
Monarch_left.csv,title,1,target_036570,title,0.4698232114315033,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","ABELA WILLIBARD, ABETH Y AUDAX, ADELINA DEOGRATIAS, ADELINA SALVATORY, ADELINA TIBESIGWA"
Monarch_left.csv,title,1,target_011411,title,0.4693184494972229,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Alam, Ali, Amin, Andreani, Anwary"
Monarch_left.csv,title,1,target_081822,title,0.4677458703517914,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Alexander I, Alusian, Asparuh, Ayyar, Batbayan"
Monarch_left.csv,title,1,target_078667,title,0.4672345221042633,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Adrastus of Aphrodisias, Aedesia, Aedesius, Aeneas of Gaza, Aenesidemus"
Monarch_left.csv,title,1,target_041401,title,0.46721261739730835,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Aden, Landi Kotal, Charkhel, Pattani, Karachi"
Monarch_left.csv,title,1,Country_left,title,0.4661227762699127,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Algeria, Andorra, Aruba, Angola, Albania"
Monarch_left.csv,title,1,target_003405,title,0.4658300280570984,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Jinshi Bai, Murali Karthikeyan, Han Yu Zhang, Semion Khanin, Shah Hetul"
Monarch_left.csv,title,1,target_060750,title,0.4658010005950928,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Aga Khan IV, K'naan, Li Ka-shing, Patricia Kaas, Jon Kabat-Zinn"
Monarch_left.csv,title,1,Noble_right,title,0.4657084047794342,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Humbert I, Count of Savoy, Humbert II, Count of Savoy, Humbert III, Count of Savoy, Thomas, Count of Savoy, William Marshal, 1st Earl of Pembroke (2nd Creation)"
Monarch_left.csv,title,1,target_042209,title,0.4654548764228821,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","ABDALLAH MOHAMED, ABDALLAH M MABROUCK, ANCIFRID E KYAWE, BE NSON F MKUMBI, CHARLES N MBINGA"
Monarch_left.csv,title,1,target_050871,title,0.4651821255683899,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Queen Nzingha, Governor-General Dame Louise Lake-Tack, President Cristina Fernandez de Kirchner, President Isabel Perón, Queen Zabel"
Monarch_left.csv,title,1,target_081786,title,0.4651821255683899,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Queen Nzingha, Governor-General Dame Louise Lake-Tack, President Cristina Fernandez de Kirchner, President Isabel Perón, Queen Zabel"
Monarch_left.csv,title,1,EthnicGroup_right,title,0.4647674262523651,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","African Americans, Arabs, Aleut, Basques, Ecuadorians"
Monarch_left.csv,title,1,target_042586,title,0.4643552601337433,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Christian population, Age of Revolution, Bill of Rights in England, Joint Sovereigns, Estates of France"
Monarch_left.csv,title,1,Noble_left,title,0.4642707407474518,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este"
Monarch_left.csv,title,1,target_006859,title,0.4639401435852051,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Joy Adamson, Moustapha Akkad, Albert Anastasia, Archimedes, Notorious B.I.G."
Monarch_left.csv,title,1,target_014841,title,0.4638655483722687,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Abdul Azeem, Abdul-Baari, Abdul-Fataah, Abdul-Ghafaar, Abdul-Haady"
Monarch_left.csv,title,1,GivenName_left,title,0.4635743498802185,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Adrian, Alexander, Anastasius, Alexius, Alexandra"
Monarch_left.csv,title,1,target_052578,title,0.4632192552089691,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","AFGHANISTAN, ALBANIA, ALBANIA, ALGERIA, ALGERIA"
Monarch_left.csv,title,1,target_050734,title,0.46308866143226624,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Albania, Algeria, Antigua and Barbuda, Argentina, Armenia"
Monarch_left.csv,title,1,target_016022,title,0.4629281759262085,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","United States of America, China, Vietnam, India, Japan"
Monarch_left.csv,title,1,target_025547,title,0.4628758132457733,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","United States of America, India, China, Brazil, Japan"
Monarch_left.csv,title,1,target_033712,title,0.4628466069698334,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Henna, Saaraa, Qasim, Aisha, Nazmeen"
Monarch_left.csv,title,1,ChristianBishop_right,title,0.46277227997779846,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Ealdred (archbishop of York), Saint Matthew, Bartholomew I of Constantinople, Pandulf Verraccio, William Courtenay"
Monarch_left.csv,title,1,target_093744,title,0.4627135097980499,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Abdulsattar, Abuelkhair, Ahmad, Ahmed, Ahmed"
Monarch_left.csv,title,1,target_070022,title,0.46270716190338135,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","John Abbott, Wesley Addy, Spiro T. Agnew, Mel Allen, John Alton"
Monarch_left.csv,title,1,target_039008,title,0.46255066990852356,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Scopigno, Callieri, Pintus, Gobbetti, Dellepiane"
Monarch_left.csv,title,1,target_013478,title,0.46246370673179626,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Abbot, Abul Wafa, Acosta, Aitken Australis, Aitken Borealis"
Monarch_left.csv,title,1,target_012401,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_040146,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_016731,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_074821,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_043063,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_020383,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_020756,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
Monarch_left.csv,title,1,target_083611,title,0.46244552731513977,"Ahab, Alaric I, Alexander I of Scotland, Alexander Jannaeus, Alexios II Komnenos","Bosnia and Herzegovina, Kosovo, Greece, Macedonia, Spain"
