query,candidate,semantic_score,deepjoin_score
adventureworks2014_countryregion.Name,adventureworks2014_salesterritory.Name,5.8,0.0
adventureworks2014_salesterritory.Name,adventureworks2014_countryregion.Name,5.8,0.0
countries_and_continents.name,adventureworks2014_salesterritory.Name,5.4,0.0
countries_data.CountryName,adventureworks2014_salesterritory.Name,3.6,0.0
countries_metadatacountries.CountryName,adventureworks2014_salesterritory.Name,0.9,0.0
countries_of_the_world.Country,adventureworks2014_countryregion.Name,1.5814977973568285,0.0
cwurdata.country,adventureworks2014_countryregion.Name,2.8445378151260505,0.0
cwurdata.country,adventureworks2014_salesterritory.Name,14.1,0.0
edu.country,adventureworks2014_countryregion.Name,5.945378151260504,0.0
edu.country,adventureworks2014_salesterritory.Name,0.9,0.0
fifa_ranking.country_full,adventureworks2014_salesterritory.Name,1.3,0.0
gender_development.Country,adventureworks2014_countryregion.Name,1.6923076923076923,0.0
hfi_cc_2018.countries,adventureworks2014_salesterritory.Name,1.1,0.0
movie_metadata.country,adventureworks2014_salesterritory.Name,9.1,0.0
movies.country,adventureworks2014_countryregion.Name,0.773109243697479,0.0
movies.country,adventureworks2014_salesterritory.Name,10.7,0.0
moviesonstreamingplatforms_updated.Country,adventureworks2014_countryregion.Name,1.3067226890756305,0.0
moviesonstreamingplatforms_updated.Country,adventureworks2014_salesterritory.Name,10.1,0.0
netflix_titles.country,adventureworks2014_countryregion.Name,2.138655462184874,0.0
netflix_titles.country,adventureworks2014_salesterritory.Name,6.5,0.0
who_suicide_statistics.country,adventureworks2014_countryregion.Name,5.436974789915967,0.0
who_suicide_statistics.country,adventureworks2014_salesterritory.Name,3.1,0.0
whr2015.Country,adventureworks2014_countryregion.Name,1.810126582278481,0.0
word_university_rank_2020.Country,adventureworks2014_countryregion.Name,3.6554621848739495,0.0
word_university_rank_2020.Country,adventureworks2014_salesterritory.Name,12.2,0.0
world_countries_env_vars.Country,adventureworks2014_countryregion.Name,1.5546218487394958,0.0
world_country.Name,adventureworks2014_salesterritory.Name,5.7,0.0
world-cities.country,adventureworks2014_salesterritory.Name,9.0,0.0
