title
Maine; 44°21′N 68°13′W﻿ / ﻿44.35°N 68.21°W
American Samoa; 14°15′S 170°41′W﻿ / ﻿14.25°S 170.68°W
Utah; 38°41′N 109°34′W﻿ / ﻿38.68°N 109.57°W
South Dakota; 43°45′N 102°30′W﻿ / ﻿43.75°N 102.50°W
Texas; 29°15′N 103°15′W﻿ / ﻿29.25°N 103.25°W
Florida; 25°39′N 80°05′W﻿ / ﻿25.65°N 80.08°W
Colorado; 38°34′N 107°43′W﻿ / ﻿38.57°N 107.72°W
Utah; 37°34′N 112°11′W﻿ / ﻿37.57°N 112.18°W
Utah; 38°12′N 109°56′W﻿ / ﻿38.2°N 109.93°W
Utah; 38°12′N 111°10′W﻿ / ﻿38.20°N 111.17°W
New Mexico; 32°10′N 104°26′W﻿ / ﻿32.17°N 104.44°W
California; 34°01′N 119°25′W﻿ / ﻿34.01°N 119.42°W
South Carolina; 33°47′N 80°47′W﻿ / ﻿33.78°N 80.78°W
Oregon; 42°56′N 122°06′W﻿ / ﻿42.94°N 122.1°W
Ohio; 41°14′N 81°33′W﻿ / ﻿41.24°N 81.55°W
California Nevada; 36°14′N 116°49′W﻿ / ﻿36.24°N 116.82°W
Alaska; 63°20′N 150°30′W﻿ / ﻿63.33°N 150.50°W
Florida; 24°38′N 82°52′W﻿ / ﻿24.63°N 82.87°W
Florida; 25°19′N 80°56′W﻿ / ﻿25.32°N 80.93°W
Alaska; 67°47′N 153°18′W﻿ / ﻿67.78°N 153.30°W
Montana; 48°48′N 114°00′W﻿ / ﻿48.80°N 114.00°W
Alaska; 58°30′N 137°00′W﻿ / ﻿58.50°N 137.00°W
Arizona; 36°04′N 112°08′W﻿ / ﻿36.06°N 112.14°W
Wyoming; 43°44′N 110°48′W﻿ / ﻿43.73°N 110.80°W
Nevada; 38°59′N 114°18′W﻿ / ﻿38.98°N 114.30°W
Colorado; 37°44′N 105°31′W﻿ / ﻿37.73°N 105.51°W
North Carolina Tennessee; 35°41′N 83°32′W﻿ / ﻿35.68°N 83.53°W
Texas; 31°55′N 104°52′W﻿ / ﻿31.92°N 104.87°W
Hawaii; 20°43′N 156°10′W﻿ / ﻿20.72°N 156.17°W
Hawaii; 19°23′N 155°12′W﻿ / ﻿19.38°N 155.20°W
Arkansas; 34°31′N 93°03′W﻿ / ﻿34.51°N 93.05°W
Michigan; 48°06′N 88°33′W﻿ / ﻿48.10°N 88.55°W
California; 33°47′N 115°54′W﻿ / ﻿33.79°N 115.90°W
Alaska; 58°30′N 155°00′W﻿ / ﻿58.50°N 155.00°W
Alaska; 59°55′N 149°39′W﻿ / ﻿59.92°N 149.65°W
California; 36°48′N 118°33′W﻿ / ﻿36.80°N 118.55°W
Alaska; 67°33′N 159°17′W﻿ / ﻿67.55°N 159.28°W
Alaska; 60°58′N 153°25′W﻿ / ﻿60.97°N 153.42°W
California; 40°29′N 121°31′W﻿ / ﻿40.49°N 121.51°W
Kentucky; 37°11′N 86°06′W﻿ / ﻿37.18°N 86.10°W
Colorado; 37°11′N 108°29′W﻿ / ﻿37.18°N 108.49°W
Washington; 46°51′N 121°45′W﻿ / ﻿46.85°N 121.75°W
Washington; 48°42′N 121°12′W﻿ / ﻿48.70°N 121.20°W
Washington; 47°58′N 123°30′W﻿ / ﻿47.97°N 123.50°W
Arizona; 35°04′N 109°47′W﻿ / ﻿35.07°N 109.78°W
California; 36°29′N 121°10′W﻿ / ﻿36.48°N 121.16°W
California; 41°18′N 124°00′W﻿ / ﻿41.30°N 124.00°W
Colorado; 40°24′N 105°35′W﻿ / ﻿40.40°N 105.58°W
Arizona; 32°15′N 110°30′W﻿ / ﻿32.25°N 110.50°W
California; 36°26′N 118°41′W﻿ / ﻿36.43°N 118.68°W
Virginia; 38°32′N 78°21′W﻿ / ﻿38.53°N 78.35°W
North Dakota; 46°58′N 103°27′W﻿ / ﻿46.97°N 103.45°W
United States Virgin Islands; 18°20′N 64°44′W﻿ / ﻿18.33°N 64.73°W
Minnesota; 48°30′N 92°53′W﻿ / ﻿48.50°N 92.88°W
South Dakota; 43°34′N 103°29′W﻿ / ﻿43.57°N 103.48°W
Alaska; 61°00′N 142°00′W﻿ / ﻿61.00°N 142.00°W
Wyoming Montana Idaho; 44°36′N 110°30′W﻿ / ﻿44.60°N 110.50°W
California; 37°50′N 119°30′W﻿ / ﻿37.83°N 119.50°W
Utah; 37°18′N 113°03′W﻿ / ﻿37.30°N 113.05°W
