title
47389.67 acres (191.8 km2)
9000.00 acres (36.4 km2)
76518.98 acres (309.7 km2)
242755.94 acres (982.4 km2)
801163.21 acres (3242.2 km2)
172924.07 acres (699.8 km2)
32950.03 acres (133.3 km2)
35835.08 acres (145.0 km2)
337597.83 acres (1366.2 km2)
241904.26 acres (979.0 km2)
46766.45 acres (189.3 km2)
249561.00 acres (1009.9 km2)
26545.86 acres (107.4 km2)
183224.05 acres (741.5 km2)
32860.73 acres (133.0 km2)
3372401.96 acres (13647.6 km2)
4740911.72 acres (19185.8 km2)
64701.22 acres (261.8 km2)
1508537.90 acres (6104.8 km2)
7523897.74 acres (30448.1 km2)
1013572.41 acres (4101.8 km2)
3224840.31 acres (13050.5 km2)
1217403.32 acres (4926.7 km2)
309994.66 acres (1254.5 km2)
77180.00 acres (312.3 km2)
42983.74 acres (173.9 km2)
521490.13 acres (2110.4 km2)
86415.97 acres (349.7 km2)
29093.67 acres (117.7 km2)
323431.38 acres (1308.9 km2)
5549.75 acres (22.5 km2)
571790.11 acres (2314.0 km2)
789745.47 acres (3196.0 km2)
3674529.68 acres (14870.3 km2)
669982.99 acres (2711.3 km2)
461901.20 acres (1869.2 km2)
1750716.50 acres (7084.9 km2)
2619733.21 acres (10601.7 km2)
106372.36 acres (430.5 km2)
52830.19 acres (213.8 km2)
52121.93 acres (210.9 km2)
235625.00 acres (953.5 km2)
504780.94 acres (2042.8 km2)
922650.86 acres (3733.8 km2)
93532.57 acres (378.5 km2)
26605.73 acres (107.7 km2)
112512.05 acres (455.3 km2)
265828.41 acres (1075.8 km2)
91439.71 acres (370.0 km2)
404051.17 acres (1635.1 km2)
199045.23 acres (805.5 km2)
70446.89 acres (285.1 km2)
14688.87 acres (59.4 km2)
218200.17 acres (883.0 km2)
28295.03 acres (114.5 km2)
8323147.59 acres (33682.6 km2)
2219790.71 acres (8983.2 km2)
761266.19 acres (3080.7 km2)
146597.60 acres (593.3 km2)
