title
Peter Hardeman Burnett; November 15 1807 – May 17 1895; (Aged 87)
John McDougall; ca. 1818 – March 30 1866; (Aged 48)
John Bigler; January 8 1805 – November 29 1871; (Aged 66)
John Bigler; January 8 1805 – November 29 1871; (Aged 66)
J. Neely Johnson; August 2 1825 – August 31 1872; (Aged 47)
John B. Weller; February 22 1812 – August 17 1875; (Aged 63)
Milton Latham; May 23 1827 – March 4 1882; (Aged 54)
John G. Downey; June 24 1827 – March 1 1894; (Aged 66)
John G. Downey; June 24 1827 – March 1 1894; (Aged 66)
Leland Stanford; March 9 1824 – June 21 1893; (Aged 69)
Frederick Low; June 30 1828 – July 21 1894; (Aged 66)
Henry Huntly Haight; May 20 1825 – September 2 1878; (Aged 53)
Newton Booth; December 30 1825 – July 14 1892; (Aged 66)
Romualdo Pacheco; October 31 1831 – January 23 1899; (Aged 67)
William Irwin; ca. 1827 – March 15 1886; (Aged 58–59)
George Clement Perkins; August 23 1839 – February 26 1923; (Aged 83)
George Stoneman; August 8 1822 – September 5 1894; (Aged 72)
Washington Bartlett; February 29 1824 – September 12 1887; (Aged 63)
Robert Waterman; December 15 1826 – April 12 1891; (Aged 64)
Henry Markham; November 16 1840 – October 9 1923; (Aged 82)
James Budd; May 18 1851 – July 30 1908; (Aged 57)
James Budd; May 18 1851 – July 30 1908; (Aged 57)
Henry Gage; December 25 1852 – August 28 1924; (Aged 71)
George Pardee; July 25 1857 – September 1 1941; (Aged 84)
James Gillett; September 20 1860 – April 20 1937; (Aged 76)
Hiram Johnson; September 2 1866 – August 6 1945; (Aged 78)
Hiram Johnson; September 2 1866 – August 6 1945; (Aged 78)
Hiram Johnson; September 2 1866 – August 6 1945; (Aged 78)
Hiram Johnson; September 2 1866 – August 6 1945; (Aged 78)
William Stephens; December 26 1859 – April 25 1944; (Aged 84)
William Stephens; December 26 1859 – April 25 1944; (Aged 84)
Friend Richardson; December 1 1865 – September 6 1943; (Aged 77)
C.C. Young; April 28 1869 – December 24 1947; (Aged 78)
C.C. Young; April 28 1869 – December 24 1947; (Aged 78)
James Rolph; August 23 1869 – June 2 1934; (Aged 64)
Frank Merriam; December 22 1865 – April 25 1955; (Aged 89)
Frank Merriam; December 22 1865 – April 25 1955; (Aged 89)
Culbert Olson; November 7 1876 – April 13 1962; (Aged 85)
Culbert Olson; November 7 1876 – April 13 1962; (Aged 85)
Earl Warren; March 19 1891 – July 9 1974; (Aged 83)
Earl Warren; March 19 1891 – July 9 1974; (Aged 83)
Earl Warren; March 19 1891 – July 9 1974; (Aged 83)
Goodwin Knight; December 9 1896 – May 22 1970; (Aged 73)
Goodwin Knight; December 9 1896 – May 22 1970; (Aged 73)
Pat Brown; April 21 1905 – February 16 1996; (Aged 90)
Pat Brown; April 21 1905 – February 16 1996; (Aged 90)
Ronald Reagan; February 6 1911 – June 5 2004; (Aged 93)
Ronald Reagan; February 6 1911 – June 5 2004; (Aged 93)
Ronald Reagan; February 6 1911 – June 5 2004; (Aged 93)
Ronald Reagan; February 6 1911 – June 5 2004; (Aged 93)
Jerry Brown; April 7 1938 (age 77)
Jerry Brown; April 7 1938 (age 77)
George Deukmejian; June 6 1928 (age 87)
George Deukmejian; June 6 1928 (age 87)
Pete Wilson; August 3 1933 (age 82)
Pete Wilson; August 3 1933 (age 82)
Gray Davis; December 26 1942 (age 73)
Gray Davis; December 26 1942 (age 73)
Arnold Schwarzenegger; July 30 1947 (age 68)
Arnold Schwarzenegger; July 30 1947 (age 68)
Arnold Schwarzenegger; July 30 1947 (age 68)
Jerry Brown; April 7 1938 (age 77)
Jerry Brown; April 7 1938 (age 77)
Jerry Brown; April 7 1938 (age 77)
""
""
