candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values,contributing_entities,num_contributing_entities
Noble_right,title,0.8074076175689697,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Humbert I, Count of Savoy, Humbert II, Count of Savoy, Humbert III, Count of Savoy, Thomas, Count of Savoy, William Marshal, 1st Earl of Pembroke (2nd Creation)","rotbold ii, count of provence↔rotbold ii, count of provence(1.00) | jacques-nompar de caumont, duc de la force↔jacques-nompar de caumont, duc de la force(1.00) | john de grey, 1st baron grey de rotherfield↔john de grey, 2nd baron grey de rotherfield(1.00) | george boleyn, viscount rochford↔george boleyn, 2nd viscount rochford(0.99) | andronikos komnenos (son of john ii)↔andronikos komnenos (son of john ii komnenos)(0.99) | otto i, duke of brunswick-harburg↔otto i, duke of brunswick-lã¼neburg-harburg(0.99) | wolfgang william, count palatine of neuburg↔wolfgang wilhelm, count palatine of neuburg(0.98) | dangerose de l'isle bouchard↔dangereuse de l'isle bouchard(0.98) | frederick casimir, count of hanau-lichtenberg↔friedrich casimir, count of hanau-lichtenberg(0.98) | dominik aleksander kazanowski↔aleksander dominik kazanowski(0.98)",200
Noble_left,title,0.7736932039260864,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","amanieu viii↔amanieu viii(1.00) | guntheuc↔guntheuc(1.00) | john ii, count of blois↔john ii, count of blois(1.00) | schildenfeld↔schildenfeld(1.00) | abdagases i↔abdagases i(1.00) | richeza of berg↔richeza of berg(1.00) | john montagu, 2nd duke of montagu↔john montagu, 2nd duke of montagu(1.00) | mille-marie treschow↔mille-marie treschow(1.00) | torquato conti↔torquato conti(1.00) | jean iii de brosse↔jean iii de brosse(1.00)",200
GivenName_right,title,0.624582052230835,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Luke (name), Julia, Fatima (name), Fanny (name), Lyfing",abd al-rahman ben uqba↔abd al-rahman(0.87) | margaret of bar↔margaret(0.81) | hachiun↔harutyun(0.80) | saud ibn abd al-aziz ibn saud↔abd al-aziz(0.80) | zofia czartoryska↔zvonimir(0.79) | mary woodville↔mary (name)(0.78) | jan lubomirski↔lubomir(0.76) | elizabeth paulet↔paulina (given name)(0.76) | matej ninoslav↔bojan(0.76) | sophie of brandenburg↔sophie (given name)(0.74),154
ChristianBishop_right,title,0.6161930561065674,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Ealdred (archbishop of York), Saint Matthew, Bartholomew I of Constantinople, Pandulf Verraccio, William Courtenay","jean-louis d'usson↔louis jean dufaux(0.85) | rostislav mikhailovich↔serge konovalov(0.83) | william de montacute, 2nd baron montacute↔william of montfort(0.82) | margaret de stafford↔margaret vertue(0.81) | john ii, count of nevers↔john ii of the sedre(0.80) | menelaus↔mansuetus(0.80) | berthold i of istria↔joachim i of constantinople(0.79) | emanuel von friedrichsthal↔gregor leonhard andreas von scherr(0.79) | anthony kingston↔anthony tremlett(0.79) | anne d'arpajon↔annetto depasquale(0.78)",200
Monarch_right,title,0.6161409616470337,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Emperor Kinmei, Emperor Tenmu, Emperor Monmu, Anastasius I Dicorus, Theodoric the Great","saadat ali khan i↔saadatullah khan i(0.93) | muhammad nasir khan i↔najmuddin ali khan(0.87) | hotula khan↔hussain hotak(0.87) | muhammed saadatullah khan ii↔wazir akbar khan(0.87) | haji hassan khan↔najabat ali khan(0.86) | abdallah bin jiluwi↔ahmad i bin mohammed(0.85) | hieronim radziejowski↔stefan radoslav(0.85) | qamar-ud-din khan, asif jah i↔ghazi ayub khan(0.84) | saud ibn abd al-aziz ibn saud↔yusuf ibn abi'l-saj(0.83) | john doukas↔constantine doukas(0.83)",200
MemberOfParliament_right,title,0.5581314563751221,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","George Stevenson (MP), Edward Jerningham Wakefield, Greville Janner, Joshua Benjamin Jeyaretnam, Roger Williams (UK politician)",izabella poniatowska↔iliana iotova(0.85) | sa'd bin abdul-rahman↔saifur rahman (politician)(0.83) | mirza shah mahmud↔junaid ahmed palak(0.83) | khalifa al-zanati↔hussain al-qallaf(0.81) | kara mahmud bushati↔zunaid ahmed palak(0.80) | abd al-rahman ben uqba↔abdel wahab qaid(0.79) | abdallah bin jiluwi↔hussein ahamed bhaila(0.79) | girolama mazzarini↔hubert lazzarini(0.79) | dilshad khatun↔perumal rajadurai(0.78) | dalem samprangan↔jayantha samaraweera(0.77),200
Country_right,title,0.5539677739143372,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Kosovo (region), Myanmar, Qing dynasty, Special administrative regions of China, Kingdom of Northumbria","henry, duke of lower lorraine↔duchy of lorraine(0.82) | aldimir↔alavids(0.79) | ernest, margrave of austria↔margraviate of austria(0.79) | eleonore marie of anhalt-bernburg↔anhalt(0.78) | tuoba fu↔tuyuhun(0.77) | kong jia↔yueban(0.77) | kara mahmud bushati↔gazikumukh khanate(0.76) | matej ninoslav↔shirvan baylarbaylik(0.75) | lutgardis of luxemburg↔duchy of luxemburg(0.75) | kuaiwa↔yamataikoku(0.74)",200
BasketballTeam_right,title,0.5483120679855347,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United",vojvoda vojin↔kk vojvodina srbijagas(0.83) | klementyna czartoryska↔kk olimpija(0.80) | ocko i tom brok↔kk slavonski brod(0.76) | alberada of buonalbergo↔pallacanestro don bosco livorno(0.76) | klemens zamoyski↔kk krka(0.73) | izabela czartoryska↔bc yenisey krasnoyarsk(0.72) | abdallah bin jiluwi↔al riyadi amman(0.72) | dalem samprangan↔satria muda pertamina jakarta(0.71) | gjergj arianiti↔nuova amg sebastiani basket rieti(0.71) | antoni benedykt lubomirski↔bc budivelnik(0.71),166
ChristianBishop_left,title,0.5429031848907471,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Ambrose, Ealdred (bishop), Absalon, Augustine of Hippo, Antipope John XXIII",ottone visconti↔gaspare visconti(0.87) | joost de lalaing↔joost de blank(0.84) | pal dukagjini↔pal dushmani(0.81) | berthold i of istria↔berthold (patriarch of aquileia)(0.81) | vicente sartorius y cabeza de vaca↔francisco javier de lizana y beaumont(0.80) | isaac arnauld↔isaac lea nicholson(0.79) | robert de ros (died 1227)↔richard de beaumis (died 1127)(0.79) | tomasz franciszek zamoyski↔alexander m. zaleski(0.79) | emanuel von friedrichsthal↔hugo von hohenlandenberg(0.79) | philip de lalaing↔philip de harcourt(0.79),200
Artwork_right,title,0.5375996232032776,"Afonso de Albuquerque, Cesare Borgia, Francesco I Sforza, George Frederick, Margrave of Brandenburg-Ansbach, Isabella d'Este","Portlandia, La Danse (Bouguereau), La Danse, The Return of Spring, The Night Watch (painting)",giuliano de' medici↔bust of francesco i d'este(0.76) | agnese di montefeltro↔portrait of a princess (pisanello)(0.75) | gjin progoni↔bijin-ga(0.73) | august aleksander czartoryski↔alexander pushkin (bourganov)(0.71) | isabella of lusignan↔blessed ludovica albertoni(0.71) | anna de' medici↔portrait of a princess (pisanello)(0.71) | kazimierz franciszek czarnkowski↔general thaddeus kosciuszko(0.71) | battista sforza↔san giorgio maggiore at dusk(0.70) | lucrezia d'alagno↔madonna of foligno(0.70) | francesco i sforza↔bust of francesco barberini(0.70),200
