query_table,query_column,query_value,candidate_table,candidate_column,candidate_value
railwayline_left,title,zillertal railway,railwayline_left,title,zillertal railway
railwayline_left,title,far rockaway branch,railwayline_left,title,far rockaway branch
railwayline_left,title,whitecliffs branch,railwayline_left,title,whitecliffs branch
railwayline_left,title,kishin line,railwayline_left,title,kishin line
railwayline_left,title,styal line,railwayline_left,title,styal line
railwayline_left,title,rantarata,railwayline_left,title,rantarata
railwayline_left,title,vestmarka line,railwayline_left,title,vestmarka line
railwayline_left,title,rjukan line,railwayline_left,title,rjukan line
railwayline_left,title,s24 (zvv),railwayline_left,title,s24 (zvv)
railwayline_left,title,chemin de fer de la mure,railwayline_left,title,chemin de fer de la mure
railwayline_left,title,seibu tamagawa line,railwayline_left,title,seibu tamagawa line
railwayline_left,title,carmelit,railwayline_left,title,carmelit
railwayline_left,title,conwy valley line,railwayline_left,title,conwy valley line
railwayline_left,title,o-train,railwayline_left,title,o-train
railwayline_left,title,nordfyenske jernbane,railwayline_left,title,nordfyenske jernbane
railwayline_left,title,pichi richi railway preservation society,railwayline_left,title,pichi richi railway preservation society
railwayline_left,title,furuset line,railwayline_left,title,furuset line
railwayline_left,title,iida line,railwayline_left,title,iida line
railwayline_left,title,tokyo metro hibiya line,railwayline_left,title,tokyo metro hibiya line
railwayline_left,title,blue line (cta),railwayline_left,title,blue line (cta)
railwayline_left,title,deux-montagnes line (amt),railwayline_left,title,deux-montagnes line (amt)
railwayline_left,title,klia ekspres,railwayline_left,title,klia ekspres
railwayline_left,title,spikkestad line,railwayline_left,title,spikkestad line
railwayline_left,title,kochelsee railway,railwayline_left,title,kochelsee railway
railwayline_left,title,bexhill west branch line,railwayline_left,title,bexhill west branch line
railwayline_left,title,joondalup railway line,railwayline_left,title,joondalup railway line
railwayline_left,title,irt jerome avenue line,railwayline_left,title,irt jerome avenue line
railwayline_left,title,shinonoi line,railwayline_left,title,shinonoi line
railwayline_left,title,"line 5, shanghai metro",railwayline_left,title,"line 5, shanghai metro"
railwayline_left,title,taean line,railwayline_left,title,taean line
railwayline_left,title,seibu seibu-en line,railwayline_left,title,seibu seibu-en line
