query_table,candidate_table,query_col,candidate_col,score
datalake-imdb_ijs_directors_genres.csv,datalake-movies.csv,genre,genre,0.9769
datalake-imdb_ijs_directors_genres.csv,datalake-imdb_ijs_movies_genres.csv,genre,genre,0.9816
datalake-most_frequent_names.csv,datalake-iq_brain_size.csv,Gender,SEX,0.9642
datalake-most_frequent_names.csv,datalake-Brainsize.csv,Gender,Gender,1.0000
datalake-most_frequent_names.csv,datalake-plasma_retinol.csv,Gender,SEX,0.9642
datalake-most_frequent_names.csv,datalake-who_suicide_statistics.csv,Gender,sex,0.9642
datalake-most_frequent_names.csv,datalake-ipums_la_98-small.csv,Gender,sex,0.9642
datalake-most_frequent_names.csv,datalake-WA_Fn-UseC_-HR-Employee-Attrition.csv,Gender,Gender,0.9992
datalake-most_frequent_names.csv,datalake-Tech_sector_diversity_demographics_2016.csv,Gender,gender,0.9346
datalake-GoodReadsAwards.csv,datalake-movies.csv,votes,votes,0.9734
datalake-GoodReadsAwards.csv,datalake-movies.csv,year,year,0.9033
datalake-GoodReadsAwards.csv,datalake-USA_cars_datasets.csv,year,year,0.9351
datalake-GoodReadsAwards.csv,datalake-cwurData.csv,year,year,0.9450
datalake-GoodReadsAwards.csv,datalake-google_books_1299.csv,pages,page_count,0.9201
datalake-GoodReadsAwards.csv,datalake-df_books.csv,avgRating,avgRating,0.9922
datalake-GoodReadsAwards.csv,datalake-IMDB-Movie-Data.csv,votes,Votes,0.9363
datalake-GoodReadsAwards.csv,datalake-IMDB-Movie-Data.csv,year,Year,0.9660
datalake-GoodReadsAwards.csv,datalake-books_updated.csv,title,title,0.9241
datalake-GoodReadsAwards.csv,datalake-top10s.csv,year,year,0.9738
datalake-GoodReadsAwards.csv,datalake-hfi_cc_2018.csv,year,year,0.9892
datalake-GoodReadsAwards.csv,datalake-books.csv,title,title,0.9058
datalake-GoodReadsAwards.csv,datalake-books.csv,publisher,publisher,0.9185
datalake-GoodReadsAwards.csv,datalake-google_books_dataset.csv,pages,pageCount,0.9229
datalake-SFF_Dataset.csv,datalake-google_books_1299.csv,Author,author,0.9159
datalake-SFF_Dataset.csv,datalake-books.csv,PublicationDate,publicationdate,0.9476
datalake-SFF_Dataset.csv,datalake-google_books_dataset.csv,PublicationDate,publishedDate,0.9165
datalake-trains_cars.csv,datalake-trains_trains.csv,id,id,0.9172
datalake-trains_cars.csv,datalake-imdb_ijs_directors_movies.csv,id,id,0.9035
datalake-trains_cars.csv,datalake-world_city.csv,id,ID,0.9329
datalake-trains_cars.csv,datalake-top50.csv,id,id,0.9711
datalake-trains_cars.csv,datalake-booking.csv,id,id,0.9550
datalake-trains_cars.csv,datalake-themes.csv,id,id,0.9413
datalake-trains_cars.csv,datalake-df_books.csv,id,id,0.9057
datalake-trains_cars.csv,datalake-top_100_books.csv,id,id,0.9651
datalake-trains_cars.csv,datalake-tv_shows.csv,id,id,0.9471
datalake-trains_cars.csv,datalake-MoviesOnStreamingPlatforms_updated.csv,id,ID,0.9344
datalake-trains_cars.csv,datalake-best_crime_and_mystery_books.csv,id,id,0.9375
datalake-trains_cars.csv,datalake-Cars93.csv,id,id,0.9780
datalake-trains_cars.csv,datalake-google_books_dataset.csv,id,id,0.9316
datalake-movies.csv,datalake-USA_cars_datasets.csv,year,year,0.9738
datalake-movies.csv,datalake-cwurData.csv,country,country,0.9864
datalake-movies.csv,datalake-cwurData.csv,score,score,0.9241
datalake-movies.csv,datalake-imdb_ijs_directors_movies.csv,year,year,0.9363
datalake-movies.csv,datalake-NetflixShows.csv,rating,rating,0.9272
datalake-movies.csv,datalake-imdb_ijs_movies.csv,year,year,0.9216
datalake-movies.csv,datalake-df_books.csv,score,score,0.9111
datalake-movies.csv,datalake-IMDB-Movie-Data.csv,director,Director,0.9739
datalake-movies.csv,datalake-IMDB-Movie-Data.csv,votes,Votes,0.9533
datalake-movies.csv,datalake-IMDB-Movie-Data.csv,year,Year,0.9283
datalake-movies.csv,datalake-imdb_ijs_directors_genres.csv,genre,genre,0.9769
datalake-movies.csv,datalake-GoodReadsAwards.csv,votes,votes,0.9734
datalake-movies.csv,datalake-GoodReadsAwards.csv,year,year,0.9033
datalake-movies.csv,datalake-who_suicide_statistics.csv,country,country,0.9035
datalake-movies.csv,datalake-who_suicide_statistics.csv,year,year,0.9695
datalake-movies.csv,datalake-acquisitions.csv,country,Country,0.9383
datalake-movies.csv,datalake-Minimum_Wage_Data.csv,year,Year,0.9517
datalake-movies.csv,datalake-top10s.csv,year,year,0.9150
datalake-movies.csv,datalake-Word_University_Rank_2020.csv,country,Country,0.9624
datalake-movies.csv,datalake-whr2015.csv,country,Country,0.9146
datalake-movies.csv,datalake-tv_shows.csv,year,Year,0.9479
datalake-movies.csv,datalake-Netflix_Shows.csv,rating,rating,0.9272
datalake-movies.csv,datalake-imdb_ijs_movies_genres.csv,genre,genre,0.9835
datalake-movies.csv,datalake-MoviesOnStreamingPlatforms_updated.csv,year,Year,0.9195
datalake-movies.csv,datalake-tmdb_5000_movies.csv,budget,budget,0.9840
datalake-movies.csv,datalake-tmdb_5000_movies.csv,runtime,runtime,0.9069
datalake-movies.csv,datalake-billboard_lyrics_1964-2015.csv,year,Year,0.9690
datalake-movies.csv,datalake-movie_metadata.csv,country,country,0.9764
datalake-financial_district.csv,datalake-financial_account.csv,districtid,districtid,0.9984
datalake-financial_district.csv,datalake-financial_client.csv,districtid,districtid,0.9984
datalake-pte_amine.csv,datalake-pte_atm_min_charge.csv,Arg0,Arg0,0.9865
datalake-pte_amine.csv,datalake-pte_non_ar_hetero_5_ring.csv,Arg0,Arg0,0.9454
datalake-pte_amine.csv,datalake-pte_non_ar_hetero_5_ring.csv,Set,Set,0.9580
datalake-pte_amine.csv,datalake-pte_ketone.csv,Arg0,Arg0,0.9829
datalake-pte_amine.csv,datalake-pte_ketone.csv,Set,Set,0.9531
datalake-pte_amine.csv,datalake-pte_non_ar_hetero_6_ring.csv,Arg0,Arg0,0.9536
datalake-pte_amine.csv,datalake-pte_non_ar_hetero_6_ring.csv,Set,Set,0.9431
datalake-pte_amine.csv,datalake-pte_six_ring.csv,Arg0,Arg0,0.9873
datalake-pte_amine.csv,datalake-pte_six_ring.csv,Set,Set,0.9407
datalake-pte_amine.csv,datalake-pte_atm_count.csv,Arg0,Arg0,0.9861
datalake-pte_amine.csv,datalake-pte_bound_cnt.csv,Arg0,Arg0,0.9855
datalake-pte_amine.csv,datalake-pte_ind.csv,Arg0,Arg0,0.9876
datalake-pte_amine.csv,datalake-pte_nitro.csv,Arg0,Arg0,0.9415
datalake-pte_amine.csv,datalake-pte_nitro.csv,Set,Set,0.9425
datalake-pte_amine.csv,datalake-pte_mutagenic.csv,Arg0,Arg0,0.9905
datalake-pte_amine.csv,datalake-pte_ester.csv,Arg0,Arg0,0.9415
datalake-pte_amine.csv,datalake-pte_ester.csv,Set,Set,0.9548
datalake-pte_amine.csv,datalake-pte_ames.csv,Arg0,Arg0,0.9888
datalake-pte_amine.csv,datalake-pte_ether.csv,Arg0,Arg0,0.9883
datalake-pte_amine.csv,datalake-pte_ether.csv,Set,Set,0.9357
datalake-pte_amine.csv,datalake-pte_alkyl_halide.csv,Arg0,Arg0,0.9420
datalake-pte_amine.csv,datalake-pte_alkyl_halide.csv,Set,Set,0.9680
datalake-pte_amine.csv,datalake-pte_phenol.csv,Arg0,Arg0,0.9611
datalake-pte_amine.csv,datalake-pte_phenol.csv,Set,Set,0.9409
datalake-pte_amine.csv,datalake-pte_active.csv,Arg0,Arg0,0.9881
datalake-pte_amine.csv,datalake-pte_five_ring.csv,Arg0,Arg0,0.9527
datalake-pte_amine.csv,datalake-pte_five_ring.csv,Set,Set,0.9414
datalake-AdventureWorks2014_employee.csv,datalake-AdventureWorks2014_specialoffer.csv,rowguid,rowguid,0.9742
datalake-AdventureWorks2014_employee.csv,datalake-student-mat.csv,Gender,sex,0.9287
datalake-AdventureWorks2014_employee.csv,datalake-financial_client.csv,Gender,gender,1.0000
datalake-AdventureWorks2014_employee.csv,datalake-imdb_ijs_actors.csv,Gender,gender,0.9078
datalake-song_data.csv,datalake-dataSpotify.csv,acousticness,acousticness,0.9792
datalake-song_data.csv,datalake-dataSpotify.csv,danceability,danceability,0.9792
datalake-song_data.csv,datalake-dataSpotify.csv,energy,energy,0.9690
datalake-song_data.csv,datalake-dataSpotify.csv,instrumentalness,instrumentalness,0.9722
datalake-song_data.csv,datalake-dataSpotify.csv,key,key,0.9990
datalake-song_data.csv,datalake-dataSpotify.csv,liveness,liveness,0.9817
datalake-song_data.csv,datalake-dataSpotify.csv,loudness,loudness,0.9682
datalake-song_data.csv,datalake-dataSpotify.csv,speechiness,speechiness,0.9841
datalake-song_data.csv,datalake-dataSpotify.csv,tempo,tempo,0.9766
datalake-song_data.csv,datalake-dataSpotifyClass.csv,acousticness,acousticness,0.9792
datalake-song_data.csv,datalake-dataSpotifyClass.csv,danceability,danceability,0.9792
datalake-song_data.csv,datalake-dataSpotifyClass.csv,energy,energy,0.9690
datalake-song_data.csv,datalake-dataSpotifyClass.csv,instrumentalness,instrumentalness,0.9722
datalake-song_data.csv,datalake-dataSpotifyClass.csv,key,key,0.9990
datalake-song_data.csv,datalake-dataSpotifyClass.csv,liveness,liveness,0.9817
datalake-song_data.csv,datalake-dataSpotifyClass.csv,loudness,loudness,0.9682
datalake-song_data.csv,datalake-dataSpotifyClass.csv,speechiness,speechiness,0.9841
datalake-song_data.csv,datalake-dataSpotifyClass.csv,tempo,tempo,0.9766
datalake-song_data.csv,datalake-featuresdf.csv,acousticness,acousticness,0.9813
datalake-song_data.csv,datalake-featuresdf.csv,danceability,danceability,0.9762
datalake-song_data.csv,datalake-featuresdf.csv,energy,energy,0.9638
datalake-song_data.csv,datalake-featuresdf.csv,instrumentalness,instrumentalness,0.9710
datalake-song_data.csv,datalake-featuresdf.csv,key,key,0.9337
datalake-song_data.csv,datalake-featuresdf.csv,liveness,liveness,0.9789
datalake-song_data.csv,datalake-featuresdf.csv,loudness,loudness,0.9723
datalake-song_data.csv,datalake-featuresdf.csv,speechiness,speechiness,0.9756
datalake-song_data.csv,datalake-featuresdf.csv,tempo,tempo,0.9726
datalake-whr2015.csv,datalake-movies.csv,Country,country,0.9146
datalake-whr2015.csv,datalake-edu.csv,Country,country,0.9624
datalake-whr2015.csv,datalake-cwurData.csv,Country,country,0.9132
datalake-whr2015.csv,datalake-countries_of_the_world.csv,Country,Country,0.9703
datalake-whr2015.csv,datalake-countries_of_the_world.csv,Region,Region,0.9021
datalake-whr2015.csv,datalake-countries_metadatacountries.csv,Region,Region,0.9336
datalake-whr2015.csv,datalake-fifa_ranking.csv,Country,country_full,0.9112
datalake-whr2015.csv,datalake-who_suicide_statistics.csv,Country,country,0.9686
datalake-whr2015.csv,datalake-gender_development.csv,Country,Country,0.9715
datalake-whr2015.csv,datalake-hfi_cc_2018.csv,Country,countries,0.9554
