id,title
0,rs27210629 MPD | dbSNP | MGI SNP Detail
1,rs27210628 MPD | dbSNP | MGI SNP Detail
2,rs27210627 MPD | dbSNP | MGI SNP Detail
3,rs27210626 MPD | dbSNP | MGI SNP Detail
4,rs27210625 MPD | dbSNP | MGI SNP Detail
5,rs27210624 MPD | dbSNP | MGI SNP Detail
6,rs27210623 MPD | dbSNP | MGI SNP Detail
7,rs27210622 MPD | dbSNP | MGI SNP Detail
8,rs27210621 MPD | dbSNP | MGI SNP Detail
9,rs27210620 MPD | dbSNP | MGI SNP Detail
10,rs27210619 MPD | dbSNP | MGI SNP Detail
11,rs27210618 MPD | dbSNP | MGI SNP Detail
12,rs27210617 MPD | dbSNP | MGI SNP Detail
13,rs27210616 MPD | dbSNP | MGI SNP Detail
14,rs27210615 MPD | dbSNP | MGI SNP Detail
15,rs27210614 MPD | dbSNP | MGI SNP Detail
16,rs27210613 MPD | dbSNP | MGI SNP Detail
17,rs27210612 MPD | dbSNP | MGI SNP Detail
18,rs27210611 MPD | dbSNP | MGI SNP Detail
19,rs27210610 MPD | dbSNP | MGI SNP Detail
20,rs27210609 MPD | dbSNP | MGI SNP Detail
21,rs27210608 MPD | dbSNP | MGI SNP Detail
22,rs27210607 MPD | dbSNP | MGI SNP Detail
23,rs27210606 MPD | dbSNP | MGI SNP Detail
24,rs27210605 MPD | dbSNP | MGI SNP Detail
25,SNP ID (dbSNP Build 137)
26,rs27210604 MPD | dbSNP | MGI SNP Detail
27,rs27210603 MPD | dbSNP | MGI SNP Detail
28,rs27210602 MPD | dbSNP | MGI SNP Detail
29,rs27210601 MPD | dbSNP | MGI SNP Detail
30,rs27210600 MPD | dbSNP | MGI SNP Detail
31,rs27210599 MPD | dbSNP | MGI SNP Detail
32,rs27210598 MPD | dbSNP | MGI SNP Detail
33,rs27210597 MPD | dbSNP | MGI SNP Detail
34,rs27210596 MPD | dbSNP | MGI SNP Detail
35,rs27210595 MPD | dbSNP | MGI SNP Detail
36,rs27210594 MPD | dbSNP | MGI SNP Detail
37,rs27210593 MPD | dbSNP | MGI SNP Detail
38,rs27210592 MPD | dbSNP | MGI SNP Detail
39,rs27210591 MPD | dbSNP | MGI SNP Detail
40,rs27210590 MPD | dbSNP | MGI SNP Detail
41,rs27210589 MPD | dbSNP | MGI SNP Detail
42,rs27210588 MPD | dbSNP | MGI SNP Detail
43,rs27210587 MPD | dbSNP | MGI SNP Detail
44,rs27210586 MPD | dbSNP | MGI SNP Detail
45,rs3143295 MPD | dbSNP | MGI SNP Detail
46,rs3143296 MPD | dbSNP | MGI SNP Detail
47,rs27210585 MPD | dbSNP | MGI SNP Detail
48,rs27210584 MPD | dbSNP | MGI SNP Detail
49,rs27210583 MPD | dbSNP | MGI SNP Detail
50,rs27210582 MPD | dbSNP | MGI SNP Detail
51,SNP ID (dbSNP Build 137)
52,rs27210581 MPD | dbSNP | MGI SNP Detail
53,rs27210580 MPD | dbSNP | MGI SNP Detail
54,rs27210579 MPD | dbSNP | MGI SNP Detail
55,rs27210578 MPD | dbSNP | MGI SNP Detail
56,rs27210577 MPD | dbSNP | MGI SNP Detail
57,rs27210576 MPD | dbSNP | MGI SNP Detail
58,rs27210575 MPD | dbSNP | MGI SNP Detail
59,rs27210574 MPD | dbSNP | MGI SNP Detail
60,rs27210573 MPD | dbSNP | MGI SNP Detail
61,rs27210572 MPD | dbSNP | MGI SNP Detail
62,rs6276703 MPD | dbSNP | MGI SNP Detail
63,rs6277706 MPD | dbSNP | MGI SNP Detail
64,rs6277732 MPD | dbSNP | MGI SNP Detail
65,rs6277749 MPD | dbSNP | MGI SNP Detail
66,rs6290525 MPD | dbSNP | MGI SNP Detail
67,rs6290574 MPD | dbSNP | MGI SNP Detail
68,rs27210571 MPD | dbSNP | MGI SNP Detail
69,rs3148523 MPD | dbSNP | MGI SNP Detail
70,rs27210570 MPD | dbSNP | MGI SNP Detail
71,rs27210569 MPD | dbSNP | MGI SNP Detail
72,rs27210568 MPD | dbSNP | MGI SNP Detail
73,rs27210567 MPD | dbSNP | MGI SNP Detail
74,rs27210566 MPD | dbSNP | MGI SNP Detail
75,rs27210565 MPD | dbSNP | MGI SNP Detail
76,rs27210564 MPD | dbSNP | MGI SNP Detail
77,SNP ID (dbSNP Build 137)
78,rs27210563 MPD | dbSNP | MGI SNP Detail
79,rs27210562 MPD | dbSNP | MGI SNP Detail
80,rs27210561 MPD | dbSNP | MGI SNP Detail
81,rs27210560 MPD | dbSNP | MGI SNP Detail
82,rs27210559 MPD | dbSNP | MGI SNP Detail
83,rs27210558 MPD | dbSNP | MGI SNP Detail
84,rs27210557 MPD | dbSNP | MGI SNP Detail
85,rs27210556 MPD | dbSNP | MGI SNP Detail
86,rs27210555 MPD | dbSNP | MGI SNP Detail
87,rs27210554 MPD | dbSNP | MGI SNP Detail
88,rs27210553 MPD | dbSNP | MGI SNP Detail
89,rs27210552 MPD | dbSNP | MGI SNP Detail
90,rs27210551 MPD | dbSNP | MGI SNP Detail
91,rs27210550 MPD | dbSNP | MGI SNP Detail
92,rs27210549 MPD | dbSNP | MGI SNP Detail
93,rs27210548 MPD | dbSNP | MGI SNP Detail
94,rs27210547 MPD | dbSNP | MGI SNP Detail
95,rs27210546 MPD | dbSNP | MGI SNP Detail
96,rs27210545 MPD | dbSNP | MGI SNP Detail
97,rs27210544 MPD | dbSNP | MGI SNP Detail
98,rs27210543 MPD | dbSNP | MGI SNP Detail
99,rs27210542 MPD | dbSNP | MGI SNP Detail
100,rs27210541 MPD | dbSNP | MGI SNP Detail
101,rs27210540 MPD | dbSNP | MGI SNP Detail
102,rs48240423 MPD | dbSNP | MGI SNP Detail
103,SNP ID (dbSNP Build 137)
104,rs27210539 MPD | dbSNP | MGI SNP Detail
105,rs46229516 MPD | dbSNP | MGI SNP Detail
106,rs48632116 MPD | dbSNP | MGI SNP Detail
107,rs27210538 MPD | dbSNP | MGI SNP Detail
108,rs27210537 MPD | dbSNP | MGI SNP Detail
109,rs49867224 MPD | dbSNP | MGI SNP Detail
110,rs27210536 MPD | dbSNP | MGI SNP Detail
111,rs27210535 MPD | dbSNP | MGI SNP Detail
112,rs27210534 MPD | dbSNP | MGI SNP Detail
113,rs27210533 MPD | dbSNP | MGI SNP Detail
114,rs27210532 MPD | dbSNP | MGI SNP Detail
115,rs27210531 MPD | dbSNP | MGI SNP Detail
