id,title
0,rs33126090 MPD | dbSNP | MGI SNP Detail
1,rs33126093 MPD | dbSNP | MGI SNP Detail
2,rs33126916 MPD | dbSNP | MGI SNP Detail
3,rs33126918 MPD | dbSNP | MGI SNP Detail
4,rs33126921 MPD | dbSNP | MGI SNP Detail
5,rs33126923 MPD | dbSNP | MGI SNP Detail
6,rs33128094 MPD | dbSNP | MGI SNP Detail
7,rs33128097 MPD | dbSNP | MGI SNP Detail
8,rs33128099 MPD | dbSNP | MGI SNP Detail
9,rs33128100 MPD | dbSNP | MGI SNP Detail
10,rs33128101 MPD | dbSNP | MGI SNP Detail
11,rs33128103 MPD | dbSNP | MGI SNP Detail
12,rs33129435 MPD | dbSNP | MGI SNP Detail
13,rs33129437 MPD | dbSNP | MGI SNP Detail
14,rs46260583 MPD | dbSNP | MGI SNP Detail
15,rs33129439 MPD | dbSNP | MGI SNP Detail
16,rs33122175 MPD | dbSNP | MGI SNP Detail
17,rs33122177 MPD | dbSNP | MGI SNP Detail
18,rs33122178 MPD | dbSNP | MGI SNP Detail
19,rs33122181 MPD | dbSNP | MGI SNP Detail
20,rs33123054 MPD | dbSNP | MGI SNP Detail
21,rs33123057 MPD | dbSNP | MGI SNP Detail
22,rs33123059 MPD | dbSNP | MGI SNP Detail
23,rs33123061 MPD | dbSNP | MGI SNP Detail
24,rs33123994 MPD | dbSNP | MGI SNP Detail
25,SNP ID (dbSNP Build 137)
26,rs33123995 MPD | dbSNP | MGI SNP Detail
27,rs33123998 MPD | dbSNP | MGI SNP Detail
28,rs33123999 MPD | dbSNP | MGI SNP Detail
29,rs33124002 MPD | dbSNP | MGI SNP Detail
30,rs33125124 MPD | dbSNP | MGI SNP Detail
31,rs33125126 MPD | dbSNP | MGI SNP Detail
32,rs33125128 MPD | dbSNP | MGI SNP Detail
33,rs33125130 MPD | dbSNP | MGI SNP Detail
34,rs33125133 MPD | dbSNP | MGI SNP Detail
35,rs33125936 MPD | dbSNP | MGI SNP Detail
36,rs32453488 MPD | dbSNP | MGI SNP Detail
37,rs33125940 MPD | dbSNP | MGI SNP Detail
38,rs33125943 MPD | dbSNP | MGI SNP Detail
39,rs33126826 MPD | dbSNP | MGI SNP Detail
40,rs33126828 MPD | dbSNP | MGI SNP Detail
41,rs33126831 MPD | dbSNP | MGI SNP Detail
42,rs33127684 MPD | dbSNP | MGI SNP Detail
43,rs33127687 MPD | dbSNP | MGI SNP Detail
44,rs33127690 MPD | dbSNP | MGI SNP Detail
45,rs33127693 MPD | dbSNP | MGI SNP Detail
46,rs33128446 MPD | dbSNP | MGI SNP Detail
47,rs33128449 MPD | dbSNP | MGI SNP Detail
48,rs33128452 MPD | dbSNP | MGI SNP Detail
49,rs33128453 MPD | dbSNP | MGI SNP Detail
50,rs33126894 MPD | dbSNP | MGI SNP Detail
51,SNP ID (dbSNP Build 137)
52,rs33126896 MPD | dbSNP | MGI SNP Detail
53,rs33126897 MPD | dbSNP | MGI SNP Detail
54,rs33126899 MPD | dbSNP | MGI SNP Detail
55,rs4224988 MPD | dbSNP | MGI SNP Detail
56,rs4224989 MPD | dbSNP | MGI SNP Detail
57,rs4224990 MPD | dbSNP | MGI SNP Detail
58,rs4224991 MPD | dbSNP | MGI SNP Detail
