id,title
0,Appointment Requests; 1977
1,"Appointment Requests; 1978, undated"
2,"Appointment Requests; 1978, Jan-Mar"
3,"Appointment Requests; 1978, Apr-Jun"
4,"Appointment Requests; 1978, Jul-Dec"
5,Appointment Requests; 1979
6,Appointment Requests; 1980
7,Appointment Requests; 1981
8,"Appointment Requests; 1982, Jan-Jul"
9,"Appointment Requests; 1982, Aug-Dec"
10,"Appointment Requests; 1983, Jan-Aug"
11,"Appointment Requests; 1983, Sep-Dec"
12,"Appointment Requests; 1984, Jan-Jun"
13,"Appointment Requests; 1984, Jul-Dec"
14,"Daily Schedules; 1977, Jan-Jun"
15,"Daily Schedules; 1977, Jul-Dec"
16,"Daily Schedules; 1978, Jan-Jun"
17,"Daily Schedules; 1978, Jul-Dec"
18,"Daily Schedules; 1979, Jan-Jun"
19,"Daily Schedules; 1979, Jul-Dec"
20,"Daily Schedules; 1980, Jan-Jun"
21,"Daily Schedules; 1980, Jul-Dec"
22,"Daily Schedules; 1981, Jan-Jun"
23,"Daily Schedules; 1981, Jul-Dec"
24,"Daily Schedules; 1982, Jan-Jun"
25,"Daily Schedules; 1982, Jul-Dec"
26,"Daily Schedules; 1983, Jan-Jun"
27,"Daily Schedules; 1983, Jul-Sep"
28,"Daily Schedules; 1983, Oct-Dec"
29,"Daily Schedules; 1984, Jan-Apr"
30,"Daily Schedules; 1984, May-Aug"
31,"Daily Schedules; 1984, Sep-Dec"
32,Daily Schedules; 1985
33,David Monson Appearances; 1977
34,Meetings - Advisory Commission on Intergovernmental Relations Meeting; 1984
35,Meetings - BLM Meeting; 1981
36,Meetings - Clean Air Act Meeting; 1981
37,Meetings - Commission on Presidential Nominations Meeting; 1981
38,Meetings - Four Corners Governors Meeting - Part 01; 1981
39,Meetings - Four Corners Governors Meeting - Part 02; 1981
40,Meetings - IPP Status Meeting; 1980
41,Meetings - IRM Board Meeting; 1984
42,Meetings - New York Trip; 1980
43,Meetings - NGA - BLM Use Report; 1981
44,Meetings - NGA Conference; 1981
45,Meetings - NGA - Legal Affairs Committee Meeting; 1981
46,Meetings - NGA Meeting - Part 01; 1981
47,Meetings - NGA Meeting - Part 02; 1981
48,Meetings - NGA Meeting; 1982
49,Meetings - NGA Plenary Session; 1981
50,Meetings - NGA Summer Meetings - Part 01; 1980
51,Meetings - NGA Summer Meetings - Part 02; 1980
52,Meetings - Senate Subcommittee on Intergovernmental Relations; 1981
53,Meetings - Steering Committee Meeting; 1984
54,Meetings - Washington DC Trip; Jan 1981
55,Meetings - Washington DC Trip; April 1981
56,Meetings - Washington DC Trip; May 1981
57,Norma Matheson's Schedules; 1977-1979
58,"Scheduling - Requests and Declines; 1976, Nov"
59,"Scheduling - Requests and Declines; 1976, Dec"
60,"Scheduling - Requests and Declines; 1977, Jan 03-19"
61,"Scheduling - Requests and Declines; 1977, Jan 20-31"
62,"Scheduling - Requests and Declines; 1977, Feb 02-11"
63,"Scheduling - Requests and Declines; 1977, Feb 12-28"
64,"Scheduling - Requests and Declines; 1977, Mar 01-09"
65,"Scheduling - Requests and Declines; 1977, Mar 10-19"
66,"Scheduling - Requests and Declines; 1977, Mar 21-31"
67,"Scheduling - Requests and Declines; 1977, Apr 01-09"
68,"Scheduling - Requests and Declines; 1977, Apr 11-19"
69,"Scheduling - Requests and Declines; 1977, Apr 20-29"
70,"Scheduling - Requests and Declines; 1977, May 02-09"
71,"Scheduling - Requests and Declines; 1977, May 10-19"
72,"Scheduling - Requests and Declines; 1977, May 20-31"
73,"Scheduling - Requests and Declines; 1977, Jun 01-18"
74,"Scheduling - Requests and Declines; 1977, Jun 20-30"
75,"Scheduling - Requests and Declines; 1977, Jul 01-09"
76,"Scheduling - Requests and Declines; 1977, Jul 10-19"
77,"Scheduling - Requests and Declines; 1977, Jul 20-29"
78,"Scheduling - Requests and Declines; 1977, Aug 01-09"
79,"Scheduling - Requests and Declines; 1977, Aug 10-19"
80,"Scheduling - Requests and Declines; 1977, Aug 20-31"
81,"Scheduling - Requests and Declines; 1977, Sep 01-09"
82,"Scheduling - Requests and Declines; 1977, Sep 10-19"
83,"Scheduling - Requests and Declines; 1977, Sep 20-31"
84,"Scheduling - Requests and Declines; 1977, Oct 03-08"
85,"Scheduling - Requests and Declines; 1977, Oct 10-19"
86,"Scheduling - Requests and Declines; 1977, Oct 20-31"
87,"Scheduling - Requests and Declines; 1977, Nov 01-09"
88,"Scheduling - Requests and Declines; 1977, Nov 10-18"
89,"Scheduling - Requests and Declines; 1977, Nov 21-30"
90,"Scheduling - Requests and Declines; 1977, Dec 01-09"
91,"Scheduling - Requests and Declines; 1977, Dec 10-30"
92,"Scheduling - Requests and Declines; 1978, Jan 03-19"
93,"Scheduling - Requests and Declines; 1978, Jan 20-31"
94,"Scheduling - Requests and Declines; 1978, Feb 01-17"
95,"Scheduling - Requests and Declines; 1978, Feb 21-28"
96,"Scheduling - Requests and Declines; 1978, Mar 01-09"
97,"Scheduling - Requests and Declines; 1978, Mar 10-18"
98,"Scheduling - Requests and Declines; 1978, Mar 20-31"
99,"Scheduling - Requests and Declines; 1978, Apr 03-08"
100,"Scheduling - Requests and Declines; 1978, Apr 10-19"
101,"Scheduling - Requests and Declines; 1978, Apr 20-29"
102,"Scheduling - Requests and Declines; 1978, May 01-02"
103,"Scheduling - Requests and Declines; 1978, May 03-08"
104,"Scheduling - Requests and Declines; 1978, May 09"
105,"Scheduling - Requests and Declines; 1978, May 10-17"
106,"Scheduling - Requests and Declines; 1978, May 18-19"
