id,title
0,LCS Europe - Season 3 - Summer Playoffs 8/25/2013 |
1,"Riot Season 3 Spring Playoffs - Europe 4/28/2013 | Cologne, Germany"
2,"Riot Season 3 Spring - League Championship Series Europe 4/21/2013 | Cologne, Germany"
3,"2013 MLG Pro Circuit Winter - International Exhibition 3/18/2013 | Dallas, Texas"
4,"IEM Season VII - World Championship 3/9/2013 | Hanover, Germany"
5,ESL Major Series Winter 2012 2/26/2013 | Online
6,"IEM VII Katowice 1/20/2013 | Katowice, Poland"
7,4Players.de All or Nothing 9 12/27/2012 | Online
8,The Siege 12/10/2012 | Online
9,IEM VII Katowice - EU Crossrealm Qualifier 12/7/2012 | Online
10,"IGN ProLeague 5 12/2/2012 | Las Vegas, Nevada"
11,RaidCall Dominance 1 11/19/2012 | Online
12,IEM Season VII - Cologne - EU Cross-Realm Qualifier 11/17/2012 | Online
13,"Tales of the Lane 11/11/2012 | Online/Paris, France"
14,IPL 5 European Seeding Matches 10/25/2012 | Online
15,4Players.de All or Nothing 7 10/23/2012 | Online
16,"Season Two World Championships 10/13/2012 | Los Angeles, California"
17,ESL Major Series Season X 10/2/2012 | Online
18,Fight for Pride Promo 9/22/2012 | Online
19,EmpireTV Challenge 9/17/2012 | Online
20,"European Season Two Regional Finals 8/19/2012 | Cologne, Germany"
21,SK Trophy Pro Invitational July 8/11/2012 | Online
22,In2LOL King Of The Hill Week 6 8/10/2012 | Online
23,IPL Elites EU 1 8/3/2012 | Online
24,In2LOL King Of The Hill Week 5 7/30/2012 | Online
25,"European Challenger Circuit: Poland 7/29/2012 | Warsaw, Poland"
26,Absolute Arena Invitational 7/25/2012 | Online
27,In2LOL King Of The Hill Week 4 7/23/2012 | Online
28,League of Champions July 7/19/2012 | Online
29,Elite of Europe 7/17/2012 | Online
30,In2LOL King Of The Hill Week 3 7/9/2012 | Online
31,Absolute Arena Cup 2 7/8/2012 | Online
32,SK Trophy Pro Invitational June 7/7/2012 | Online
33,In2LOL King Of The Hill Week 2 7/2/2012 | Online
34,Absolute Arena Cup 1 6/27/2012 | Online
35,4Players.de All or Nothing 4 6/21/2012 | Online
36,"DreamHack Summer 2012 6/19/2012 | Jönköping, Sweden"
37,IPL 5 European Qualifiers 2 6/16/2012 | Online
38,League of Champions June 6/14/2012 | Online
39,Esports Heaven Medion Challenge 2012 6/6/2012 | Online
40,"Reign of Gaming International Invitational Finals 6/3/2012 | San Francisco, CA"
41,In2LOL Kickoff EU Tournament 6/3/2012 | Online
42,Cdiscount Cup 3 5/28/2012 | Online
43,IPL 5 European Qualifiers 1 5/26/2012 | Online
44,4Players.de All or Nothing 3 5/20/2012 | Online
45,Corsair Vengeance Cup 5/16/2012 | Online
46,SK Trophy Pro Invitational May 5/2/2012 | Online
47,Absolute Pro League April 4/30/2012 | Online
48,4Players.de All or Nothing 2 4/25/2012 | Online
49,Absolute Pro League March 3/31/2012 | Online
50,SK Trophy Pro Invitational March 3/24/2012 | Online
51,"HeartoWin Cup 3/17/2012 | Krefeld, Germany"
52,"IEM Season VI - World Championship 3/10/2012 | Hanover, Germany"
53,Cdiscount Cup 1 2/15/2012 | Online
54,Kings of Europe 1/31/2012 | Online
55,"IEM Season VI - Global Challenge Kiev 1/22/2012 | Kiev, Ukraine"
