id,title
0,Jahlil Okafor Video | Scouts Report
1,Myles Turner Video | Scouts Report
2,Cliff Alexander Video | Scouts Report
3,Tyus Jones Video | Scouts Report
4,Emmanuel Mudiay Video | Scouts Report
5,Trey Lyles Video | Scouts Report
6,Stanley Johnson Video | Scouts Report
7,Justin Jackson Video | Scouts Report
8,Karl Towns Jr. Video | Scouts Report
9,Theo Pinson Video | Scouts Report
10,Kelly Oubre Video | Scouts Report
11,Kevon Looney Video | Scouts Report
12,D'Angelo Russell Video | Scouts Report
13,Isaiah Whitehead Video | Scouts Report
14,Justise Winslow Video | Scouts Report
15,Isaac Copeland Video | Scouts Report
16,Joel Berry Video | Scouts Report
17,Devin Booker Video | Scouts Report
18,Rashad Vaughn Video | Scouts Report
19,"James Blackmon, Jr. Video | Scouts Report"
20,Grayson Allen Video | Scouts Report
21,Keita Bates-Diop Video | Scouts Report
22,Devin Robinson Video | Scouts Report
23,Chris McCullough Video | Scouts Report
24,Tyler Ulis Video | Scouts Report
25,Goodluck Okonoboh Video | Scouts Report
26,Reid Travis Video | Scouts Report
27,Jae'Sean Tate Video | Scouts Report
28,Romelo Trimble Video | Scouts Report
29,Daniel Hamilton Video | Scouts Report
30,L.J. Peak Video | Scouts Report
31,Abdul-Malik Abu Video | Scouts Report
32,Shaqquan Aaron Video | Scouts Report
33,Paul White Video | Scouts Report
34,Brandone Francis Video | Scouts Report
35,Thomas Welsh Video | Scouts Report
36,Craig Victor Video | Scouts Report
37,Kameron Chatman Video | Scouts Report
38,Dwayne Morgan Video | Scouts Report
39,Quentin Snider Video | Scouts Report
40,Jordan McLaughlin Video | Scouts Report
41,Montaque Gill-Ceasar Video | Scouts Report
42,JaQuan Lyle Video | Scouts Report
43,Terry Larrier Video | Scouts Report
44,Leron Black Video | Scouts Report
45,Chris Chiozza Video | Scouts Report
46,Trevon Bluiett Video | Scouts Report
47,Robert Johnson Video | Scouts Report
48,Angel Delgado Video | Scouts Report
49,Brekkott Chapman Video | Scouts Report
50,Kaleb Joseph Video | Scouts Report
51,T.J. Haws Video | Scouts Report
52,Dion Wiley Video | Scouts Report
53,JaKeenan Gant Video | Scouts Report
54,Ahmed Hill Video | Scouts Report
55,Malik Pope Video | Scouts Report
56,Josh Perkins Video | Scouts Report
57,Parker Jackson-Cartwright Video | Scouts Report
58,Ja'Quan Newton Video | Scouts Report
59,Joe Burton Video | Scouts Report
60,Elbert Robinson Video | Scouts Report
61,Paschal Chukwu Video | Scouts Report
62,Caleb Martin Video | Scouts Report
63,Alex Robinson Video | Scouts Report
64,William Lee Video | Scouts Report
65,Michael Humphrey Video | Scouts Report
66,Victor Law Video | Scouts Report
67,Dominic Magee Video | Scouts Report
68,Trayvon Reed Video | Scouts Report
69,Jonah Bolden Video | Scouts Report
70,Justin Bibbs Video | Scouts Report
71,Ronnie Harrell Video | Scouts Report
72,Dante Buford Video | Scouts Report
73,Lourawls Nairn Video | Scouts Report
74,Tadric Jackson Video | Scouts Report
75,Chinanu Onuaku Video | Scouts Report
76,Justin Coleman Video | Scouts Report
77,Mike Gilmore Video | Scouts Report
78,Edmond Sumner Video | Scouts Report
79,Jared Terrell Video | Scouts Report
80,Chandler Hutchison Video | Scouts Report
81,Trey Kell Video | Scouts Report
82,Mikal Bridges Video | Scouts Report
83,Sandy Cohen Video | Scouts Report
84,Jalen Lindsey Video | Scouts Report
85,Dominique Collier Video | Scouts Report
86,Jordan Barnett Video | Scouts Report
87,Isaac Haas Video | Scouts Report
88,Zylan Cheatham Video | Scouts Report
89,Vincent Edwards Video | Scouts Report
90,Anton Beard Video | Scouts Report
91,Cody Martin Video | Scouts Report
92,Phil Booth Video | Scouts Report
93,Riley Norris Video | Scouts Report
94,Elijah Stewart Video | Scouts Report
95,Payton Dastrup Video | Scouts Report
96,Riley LaChance Video | Scouts Report
97,Justin Tillman Video | Scouts Report
98,Josh Cunningham Video | Scouts Report
