id,title
0,Anglo-Irish
1,Beginning Mandarin
2,Australia
3,Australian Aboriginal
4,Austrian dialect
5,Biblical Hebrew
6,Bosnian
7,British English
8,British slang
9,Canadian
10,Chinese character classification
11,Christian
12,Cockney rhyming slang
13,Cologne dialect
14,Croatian
15,England
16,Harry Potter
17,Helsinki slang
18,Historical
19,Hunting
20,Jainism
21,Jamaican
22,Late Latin
23,Late Punic
24,Later Latin
25,Latter Day Saint]] usage
26,Limburg
27,Louisiana
28,Mex.
29,Netherlands
30,Old Testament
31,PRC
32,Roman Catholic Church
33,Scotland and northern UK
34,Scots
35,Serbian
36,Singapore
37,South African English
38,Southern US
39,TV
40,Taiwan
41,Taiwanese Mandarin
42,Taiwanese Min Nan
43,Taoism
44,Tibetan Buddhism
45,Trinidad and Tobago
46,U.S.
47,UK slang
48,US
49,US; modern British & Australian
50,Weapon
51,Wicca
52,Yorkshire dialect
53,about a person
54,about persons
55,absolute use
56,adjective
57,aeronautical
58,aerospace
59,affirmation of affection or deep caring
60,always plural
61,anat.
62,animal
63,archaic
64,archiac
65,as a modifier
66,as an auxiliary verb
67,as an intensifier
68,astrology
69,at the end of a compound
70,at the theatre
71,attributively
72,auxiliary verb
73,beverage
74,bible
75,billiards
76,biol.
77,biology
78,boat
79,building
80,capitalized
81,cardinal
82,cards
83,case suffix
84,caught off-guard
85,chess
86,cinematography
87,collective
88,collective plural
89,collectively
90,colloquial
91,colloquialism
92,colloquially
93,common
94,commonly
95,coordinating
96,countable and uncountable
97,country
98,culinary
99,cycling
100,dated British & Australian
101,degree
102,dependent noun
103,deprecated
104,derogatory
105,derogatory slang
106,device
107,dialect
108,dialectal
109,diminutive
110,diplomacy
111,discursive
112,disputed
113,distance
114,during the Finnish Civil War in 1918
115,during the Continuation War in 1941—1944
116,eastern dialect
117,economics
118,economy
119,electrical
120,electricity
121,enclitic
122,engineering
123,etc
124,etc.
125,euphemism
126,executed by suspension
127,expletive
128,expressively
129,familiar
130,family
131,fashion
132,female
133,fig.
134,figurative
135,finance
136,followed by the subjunctive
137,footwear
138,formal or plural
139,from 1974
140,gay slang
141,gem
142,gemstone
143,genetics
144,genitive
145,go
146,government
147,hence
148,herb
149,hexadecimal digit and number
150,historical
151,historically
152,honorific
153,lang=ko
154,horsemanship
155,human
156,human females only
157,humble
158,hunting
159,hypocoristic
160,hypocoristically
161,idiom.
162,imitative
163,impf.
164,in Ancient Greece
165,in Ancient Rome
166,in China
167,in India
168,in Indian restaurants
169,in ancient Rome
170,in classical Italian verse
171,in combination
172,in compounds
173,in dual
174,in gay personal ads
175,in general use
176,in jocular imitation of [[political correctness
177,in literature
178,in plural
179,in question clauses
180,in several forms of football
181,in several languages
182,indicating the attitude of the speaker
183,informal
184,informal or singular
185,initialism
186,intensifier
187,interjection
188,intransitive
189,ironic
190,item of furniture
191,knitting
192,kun reading
193,kvæði
194,language
195,language of literature
196,later
197,later Latin
198,lit.
199,literal
200,literally
201,literary
202,loanword
203,long scale
204,male
205,masculine
206,mass noun
207,material
208,materials science
209,mathematics
210,measure
211,mechanics
212,metaphor
213,metaphore
214,metaphorical
215,metaphorically
216,middle
217,military slang
218,mil.
219,month
220,movie theatre
221,movie title
222,musical instrument
223,mythology
224,no plural
225,non-human
226,nonce word
227,nonstandard
228,northern dialect
229,not comparable
230,not used in the plural
231,noun
232,now chiefly US
233,object
234,obscure
235,obsolete
236,obsolete except historical
237,obsolete except in dialects
238,obstetrics
239,offensive slang
240,old
241,old-fashioned
242,on reading
243,ordinal number
244,original sense
245,painting
246,passive
247,pejorative
248,person
249,personal pronoun
250,pf.
251,phonetic
252,physically
253,place
254,planet
255,plural
256,poetic
257,poetically
258,police
259,politics
260,pornography
261,pottery
262,prefix
263,printing
264,pro-sumti
265,professional wrestling slang
266,pronominally
267,publishing
268,radio
269,rare
270,rare or archaic
271,rare or dialectal
272,rarely
273,rarely used
274,reflexive
275,relative
276,religious
277,rhetorics
278,river
279,role-playing games
280,school
281,sea animal
282,season
283,shipping
284,shogi
285,short scale
286,singular
287,singular only
288,sky
289,slang
290,snooker
291,social science
292,socialism
293,somewhat dated
294,sound
295,spatial
296,spice
297,spoken only
298,sports
299,static
300,stative
301,strategy games
302,stýrivolt
303,subordinating
304,substantive
305,sushi
306,taboo slang
307,technical
308,telephone
309,telephones
310,telephony
311,temporal
312,temporally
313,text
314,time
315,title
316,transitive
317,uncountable
318,unit of mass
319,unit of weight
320,university
321,unusual
322,used absolutely
323,used as a salutation in a letter
324,used to address a woman
325,vegetable
326,verb
327,voice
328,vulgar
329,weather
330,western dialect
331,with accusative
332,with feminine nouns
333,with genitive
334,with instrumental
335,with locative
336,with masculine and neuter nouns
337,with verb
338,with 'the
339,writing
340,xiehouyu
341,zool.
342,zoology
