target_ds,target_attr
AJ-beatles-songs_source_Title,title
AJ-california-govs-1_source_Governor_s_Name,title
AJ-california-govs-1_source_State,title
AJ-california-govs-1_source_Time_in_Office,title
AJ-california-govs-1_source_Party,title
AJ-california-govs-2_source__,title
AJ-california-govs-2_source_Governor,title
AJ-california-govs-2_source_Term_in_office,title
AJ-california-govs-2_source_Party,title
AJ-california-govs-2_source_Term,title
AJ-california-govs-2_source_Previous_office,title
AJ-california-govs-2_source_Lieutenant_Governor,title
AJ-chinese-provinces_source_GB,title
AJ-chinese-provinces_source_ISO,title
AJ-chinese-provinces_source_Province,title
AJ-chinese-provinces_source_Chinese_Hanyu_Pinyin,title
AJ-chinese-provinces_source_Capital,title
AJ-chinese-provinces_source_Abbreviation,title
AJ-christmas-songs-1_source_No,title
AJ-christmas-songs-1_source_Song,title
AJ-christmas-songs-1_source_Artist,title
AJ-christmas-songs-2_source_Title,title
AJ-christmas-songs-2_source_Artist,title
AJ-christmas-songs-2_source_Year,title
AJ-christmas-songs-2_source_Additional_Information,title
AJ-duke-cs-profs_source_column_0,title
AJ-duke-cs-profs_source_column_1,title
AJ-duke-cs-profs_source_column_2,title
AJ-fruits-1_source_FRUITS__raw_,title
AJ-fruits-1_source_AMOUNT,title
AJ-fruits-1_source_CARBS__grams_,title
AJ-fruits-2_source_FRUITS__raw_,title
AJ-fruits-2_source_AMOUNT,title
AJ-fruits-2_source_CARBS__grams_,title
AJ-fsu-name-to-username_source_last_name,title
AJ-fsu-name-to-username_source_first_name,title
AJ-fsu-name-to-username_source_full_name,title
AJ-k12-name-to-email_source_SchoolName,title
AJ-k12-name-to-email_source_Name,title
AJ-new-york-govs-1_source_Name,title
AJ-new-york-govs-1_source_Held_Office,title
AJ-new-york-govs-1_source_Political_Party,title
AJ-new-york-govs-2_source_Governor,title
AJ-new-york-govs-2_source_Term_of_office,title
AJ-new-york-govs-2_source_Party,title
AJ-new-york-govs-3_source_Governor_s_Name,title
AJ-new-york-govs-3_source_State,title
AJ-new-york-govs-3_source_Time_in_Office,title
AJ-new-york-govs-3_source_Party,title
AJ-new-york-govs-4_source_Governor,title
AJ-new-york-govs-4_source_Home_Town__According_to_the_official_N_Y__State_Governor_s_website_,title
AJ-new-york-govs-4_source_Term,title
AJ-new-york-govs-4_source_Party,title
AJ-new-york-govs-5_source_Governor,title
AJ-new-york-govs-5_source_Term_of_office,title
AJ-park-to-state-1_source_Name,title
AJ-park-to-state-1_source_Location,title
AJ-park-to-state-1_source_Area,title
AJ-park-to-state-1_source_Recreation_Visitors__2014_,title
AJ-park-to-state-1_source_Description,title
AJ-park-to-state-2_source_State,title
AJ-park-to-state-2_source_National_Park,title
AJ-park-to-state-2_source_Year_Established,title
AJ-sharif-email-to-url_source_Email,title
AJ-sharif-username-to-email_source_Username,title
AJ-texas-govs-1_source__,title
AJ-texas-govs-1_source_Governor,title
AJ-texas-govs-1_source_Party,title
AJ-texas-govs-2_source_Governor,title
AJ-texas-govs-2_source_Party,title
AJ-texas-govs-2_source_Years_in_Office,title
AJ-texas-govs-2_source_Legislatures_as_Governor_,title
AJ-uk-prime-ministers_source_term,title
AJ-uk-prime-ministers_source_name,title
AJ-uk-prime-ministers_source_political_party,title
AJ-us-cities_source_United_States_Cities,title
AJ-us-presidents-1_source__,title
AJ-us-presidents-1_source_President,title
AJ-us-presidents-1_source_State,title
AJ-us-presidents-1_source_Term_of_office,title
AJ-us-presidents-1_source_Party,title
AJ-us-presidents-1_source_Term_,title
AJ-us-presidents-1_source_Previous_office,title
AJ-us-presidents-2_source__,title
AJ-us-presidents-2_source_President,title
AJ-us-presidents-2_source_State,title
AJ-us-presidents-2_source_Term_of_office,title
AJ-us-presidents-2_source_Party,title
AJ-us-presidents-2_source_Previous_office,title
AJ-us-presidents-3_source_State,title
AJ-us-presidents-3_source_Presidents_per_state,title
AJ-us-presidents-3_source_Presidents,title
AJ-us-presidents-3_source__th_President,title
AJ-us-presidents-4_source__,title
AJ-us-presidents-4_source_President,title
AJ-us-presidents-4_source_State,title
AJ-us-presidents-4_source_Term_of_office,title
AJ-us-presidents-4_source_Party,title
AJ-us-presidents-4_source_Term_,title
AJ-us-presidents-4_source_Previous_office,title
AJ-us-presidents-4_source_Vice_President,title
AJ-us-presidents-4_source_Vice_President,title
AJ-us-presidents-5_source_OB,title
AJ-us-presidents-5_source_Name,title
AJ-us-presidents-5_source_Birth_Name,title
AJ-us-presidents-5_source_OP,title
AJ-us-presidents-5_source_Birthplace,title
AJ-us-presidents-5_source_State_of_Birth,title
AJ-us-presidents-5_source_AP,title
AJ-us-presidents-6_source_OB,title
AJ-us-presidents-6_source_Name,title
AJ-us-presidents-6_source_Birth_Name,title
AJ-us-presidents-6_source_OP,title
AJ-us-presidents-6_source_Birthplace,title
AJ-us-presidents-6_source_State_of_Birth,title
AJ-us-presidents-6_source_AP,title
AJ-vegetables_source_Vegetable,title
AJ-vegetables_source_Type,title
names200_source_fullname,title
