title
Veronica Roth
Karen Marie Moning
George R.R. Martin
Cassandra Clare
Tina Fey
Patrick Rothfuss
Deborah Harkness
Ransom Riggs
Lauren Oliver
Charlaine Harris
Maggie Stiefvater
Jodi Picoult
Ann Patchett
Paula McLain
"P.C. Cast, Kristin Cast"
Erin Morgenstern
Rick Riordan
Richelle Mead
Laini Taylor
Ernest Cline
"Haruki Murakami, Jay Rubin, Philip Gabriel"
Sarah Addison Allen
Jodi Picoult
Kristin Hannah
David Levithan
Ann Patchett
Téa Obreht
Vanessa Diffenbaugh
Jeffrey Eugenides
Rachel Simon
Chad Harbach
Julian Barnes
Diane Chamberlain
David Foster Wallace
Amy Waldman
Tayari Jones
J. Courtney Sullivan
Tom Perrotta
Karen Russell
Bonnie Jo Campbell
"Janet Evanovich, Lorelei King"
"J.D. Robb, Susan Ericksen"
S.J. Watson
Alan Bradley
Neal Stephenson
Heather Gudenkauf
Chevy Stevens
"James Patterson, Michael Ledwidge"
Lisa Gardner
Michael Connelly
Louise Penny
Karin Slaughter
Harlan Coben
Richard Castle
John Sandford
John Hart
Laurie R. King
Tess Gerritsen
Lee Child
Sara Gran
Paula McLain
Alice Hoffman
Patrick deWitt
Michelle Moran
Lisa See
Elizabeth Loupas
Geraldine Brooks
Margaret Leroy
Amor Towles
Jeffrey Archer
Philippa Gregory
Mary Doria Russell
Kristina McMorris
Melanie Benjamin
Amanda Hodgkinson
Sharon Kay Penman
Deanna Raybourn
Juliet Grey
Priya Parmar
Jennifer Donnelly
George R.R. Martin
Erin Morgenstern
Patrick Rothfuss
Terry Pratchett
Jennifer  McMahon
Lev Grossman
Jasper Fforde
Anne Bishop
Jacqueline Carey
Mark  Lawrence
Trudi Canavan
Jo Walton
Brandon Sanderson
"Michelle Sagara, Michelle Sagara West"
Catherynne M. Valente
Joe Abercrombie
Kristen Britain
N.K. Jemisin
Terry Brooks
Terry Goodkind
Karen Marie Moning
Deborah Harkness
Charlaine Harris
Jim Butcher
Ilona Andrews
Richelle Mead
Jeaniene Frost
Kim Harrison
Patricia Briggs
Chloe Neill
Darynda Jones
Laurell K. Hamilton
Gail Carriger
Seanan McGuire
Karen Chance
Kevin Hearne
Kelley Armstrong
Kristen Painter
Eileen Wilks
Kalayna Price
Stephen King
Ernest Cline
Hillary Jordan
Ilona Andrews
Daniel H. Wilson
Rob Thurman
China Miéville
"Pip Ballantine, Tee Morris, Philippa Ballantine"
Ann Aguirre
James S.A. Corey
John Scalzi
Robert J. Sawyer
"Sharon Lee, Steve Miller"
Charles Stross
Jack Campbell
"Gini Koch, Daniel Dos Santos"
Taylor Anderson
Dan Simmons
Jeff Somers
Greg Egan
Melissa Marr
Dean Koontz
Mira Grant
"Steve Hockensmith, Patrick Arrasmith"
Chris Bohjalian
"Diana Rowland, Daniel Dos Santos"
Christopher Farnsworth
Jesse Petersen
Colson Whitehead
Sophie Littlefield
Ania Ahlborn
Glen Duncan
Donald Ray Pollock
