title
"crude and sexual humor, language and some drug content"
"strong violence, sexual content and adult language"
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
language and brief violence
Suitable for all ages.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
This movie has not been rated.
Suitable for all ages.
For mature audiences.  May not be suitable for children 17 and under.
This movie has not been rated.
This movie has not been rated.
For mature audiences.  May not be suitable for children 17 and under.
""
For mature audiences.  May not be suitable for children 17 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
""
For mature audiences.  May not be suitable for children 17 and under.
Suitable for children ages 7 and older.  Content contains fantasy violence.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
"bloody war violence, language throughout and some sexual material"
For mature audiences.  May not be suitable for children 17 and under.
This movie has not been rated.
"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes."
""
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
""
For mature audiences.  May not be suitable for children 17 and under.
""
""
""
This movie has not been rated.
""
""
"strong violence, sexual content and adult language"
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
This movie has not been rated.
""
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parental guidance suggested. May not be suitable for all children.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
""
"some thematic elements, rude humor and action"
"pervasive language, some sexual material, violence and drug use"
mild thematic elements
For mature audiences.  May not be suitable for children 17 and under.
"strong crude sexual content, pervasive language, and drug use"
"for action, peril and brief language"
"some sexual material, and language throughout"
""
""
""
""
For mature audiences.  May not be suitable for children 17 and under.
""
""
"language, some drug use, violence and partial nudity"
"strong violence, sexual content and adult language"
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
some sexual material
""
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
""
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
""
""
""
""
For mature audiences.  May not be suitable for children 17 and under.
""
For mature audiences.  May not be suitable for children 17 and under.
""
Parental guidance suggested. May not be suitable for all children.
""
""
For mature audiences.  May not be suitable for children 17 and under.
This movie has not been rated.
strong sexual content and language
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
"language, drug content, sexuality/nudity, and some violence-all involving teens"
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
"thematic elements, scary images, action and peril"
""
For mature audiences.  May not be suitable for children 17 and under.
For mature audiences.  May not be suitable for children 17 and under.
"thematic elements, an accident scene and some suggestive material"
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
""
""
""
For mature audiences.  May not be suitable for children 17 and under.
""
This movie has not been rated.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
""
""
""
For mature audiences.  May not be suitable for children 17 and under.
""
""
This movie has not been rated.
Parental guidance suggested. May not be suitable for children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
For mature audiences.  May not be suitable for children 17 and under.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
Parental guidance suggested. May not be suitable for all children.
Parents strongly cautioned. May be unsuitable for children ages 14 and under.
