title
"Data analysis for clients, Database licensing, Subscriptions"
Financial Services
"Subscriptions, User fees for web or mobile access"
"Data analysis for clients, Database licensing"
Not reported by company
Not reported by company
Subscriptions
Not reported by company
Not reported by company
Not reported by company
Not reported by company
""
Not reported by company
Not reported by company
Not reported by company
Not reported by company
Not reported by company
Not reported by company
Not reported by company
