target_ds,target_attr
Name_AdventureWorks2014_CountryRegion.csv,title
Name_AdventureWorks2014_salesTerritory.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title
name_countries_and_continents.csv,title
official_name_en_countries_and_continents.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title
official_name_fr_countries_and_continents.csv,title
CountryName_countries_data.csv,title
CountryName_countries_metadatacountries.csv,title
Country_countries_of_the_world.csv,title
country_cwurData.csv,title
country_edu.csv,title
country_full_fifa_ranking.csv,title
Country_gender_development.csv,title
countries_hfi_cc_2018.csv,title
country_movie_metadata.csv,title
country_movies.csv,title
Country_MoviesOnStreamingPlatforms_updated.csv,title
country_netflix_titles.csv,title
CountryDependency_population_by_country_2020.csv,title
Arg0_pte_alcohol.csv,title
Arg0_pte_alkyl_halide.csv,title
Arg0_pte_ames.csv,title
Arg0_pte_amine.csv,title
Arg0_pte_ester.csv,title
Arg0_pte_five_ring.csv,title
Arg0_pte_has_property.csv,title
Arg0_pte_imine.csv,title
Arg0_pte_ketone.csv,title
Arg0_pte_methoxy.csv,title
Arg0_pte_nitro.csv,title
Arg0_pte_non_ar_5c_ring.csv,title
Arg0_pte_non_ar_hetero_5_ring.csv,title
Arg0_pte_non_ar_hetero_6_ring.csv,title
Arg0_pte_phenol.csv,title
Arg0_pte_postestactive.csv,title
Arg0_pte_postestactive_neg.csv,title
Arg0_pte_sulfide.csv,title
Arg0_pte_testactive.csv,title
Arg0_pte_testactive_Neg.csv,title
country_UKDebate.csv,title
country_USA_cars_datasets.csv,title
country_who_suicide_statistics.csv,title
Country_whr2015.csv,title
English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
Country_Word_University_Rank_2020.csv,title
Country_World_countries_env_vars.csv,title
Name_world_country.csv,title
LocalName_world_country.csv,title
country_world-cities.csv,title
