target_ds,target_attr
AdventureWorks2014_CountryRegion.csv,Name
AdventureWorks2014_salesTerritory.csv,Name
affirmative_asylum.csv,ContinentCountryofNationality
countries_and_continents.csv,name
countries_and_continents.csv,official_name_en
countries_and_continents.csv,ISO4217-currency_country_name
countries_and_continents.csv,official_name_fr
countries_data.csv,CountryName
countries_metadatacountries.csv,CountryName
countries_of_the_world.csv,Country
cwurData.csv,country
edu.csv,country
fifa_ranking.csv,country_full
gender_development.csv,Country
hfi_cc_2018.csv,countries
movie_metadata.csv,country
movies.csv,country
MoviesOnStreamingPlatforms_updated.csv,Country
netflix_titles.csv,country
population_by_country_2020.csv,CountryDependency
pte_alcohol.csv,Arg0
pte_alkyl_halide.csv,Arg0
pte_ames.csv,Arg0
pte_amine.csv,Arg0
pte_ester.csv,Arg0
pte_five_ring.csv,Arg0
pte_has_property.csv,Arg0
pte_imine.csv,Arg0
pte_ketone.csv,Arg0
pte_methoxy.csv,Arg0
pte_nitro.csv,Arg0
pte_non_ar_5c_ring.csv,Arg0
pte_non_ar_hetero_5_ring.csv,Arg0
pte_non_ar_hetero_6_ring.csv,Arg0
pte_phenol.csv,Arg0
pte_postestactive.csv,Arg0
pte_postestactive_neg.csv,Arg0
pte_sulfide.csv,Arg0
pte_testactive.csv,Arg0
pte_testactive_Neg.csv,Arg0
UKDebate.csv,country
USA_cars_datasets.csv,country
who_suicide_statistics.csv,country
whr2015.csv,Country
wikipedia-iso-country-codes.csv,English_short_name_lower_case
Word_University_Rank_2020.csv,Country
World_countries_env_vars.csv,Country
world_country.csv,Name
world_country.csv,LocalName
world-cities.csv,country
