candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_has_property,Arg0,1023.6875,49137,1023.6875
pte_six_ring,Arg0,445.875,21402,445.875
pte_ind,Arg0,393.9375,18909,393.9375
pte_methyl,Arg0,377.8125,18135,377.8125
pte_non_ar_6c_ring,Arg0,364.9375,17517,364.9375
pte_atm,Arg4,357.125,17142,357.125
pte_bound_cnt,Arg0,339.9375,16317,339.9375
pte_atm_min_charge,Arg0,339.9375,16317,339.9375
pte_atm_max_charge,Arg0,339.9375,16317,339.9375
pte_atm_count,Arg0,339.9375,16317,339.9375
pte_ether,Arg0,335.75,16116,335.75
pte_bound,Arg3,318.4375,15285,318.4375
pte_amine,Arg0,181.0,8688,181.0
pte_alkyl_halide,Arg0,172.9375,8301,172.9375
pte_active,Arg0,162.0,7776,162.0
pte_ester,Arg0,146.9375,7053,146.9375
pte_ketone,Arg0,142.9375,6861,142.9375
pte_ames,Arg0,142.0,6816,142.0
pte_mutagenic,Arg0,137.9375,6621,137.9375
pte_non_ar_hetero_6_ring,Arg0,86.9375,4173,86.9375
pte_non_ar_hetero_5_ring,Arg0,78.0,3744,78.0
pte_five_ring,Arg0,75.0,3600,75.0
pte_sulfide,Arg0,62.0,2976,62.0
pte_methoxy,Arg0,60.0,2880,60.0
pte_phenol,Arg0,49.0,2352,49.0
pte_sulfo,Arg0,48.0,1200,48.0
pte_imine,Arg0,48.0,816,48.0
pte_nitro,Arg0,48.0,2304,48.0
pte_alcohol,Arg0,48.0,384,48.0
pte_postestactive,Arg0,48.0,960,48.0
pte_testactive_Neg,Arg0,48.0,1872,48.0
pte_testactive,Arg0,48.0,1872,48.0
pte_postestactive_neg,Arg0,48.0,1872,48.0
pte_non_ar_5c_ring,Arg0,48.0,1536,48.0
