candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_has_property,Arg0,1024.0,20480,1024.0
pte_six_ring,Arg0,446.0,8920,446.0
pte_ind,Arg0,394.0,7880,394.0
pte_methyl,Arg0,378.0,7560,378.0
pte_non_ar_6c_ring,Arg0,365.0,7300,365.0
pte_bound_cnt,Arg0,340.0,6800,340.0
pte_atm_min_charge,Arg0,340.0,6800,340.0
pte_atm_max_charge,Arg0,340.0,6800,340.0
pte_atm_count,Arg0,340.0,6800,340.0
pte_ether,Arg0,336.0,6720,336.0
pte_atm,Arg4,270.7,5414,270.7
pte_amine,Arg0,181.0,3620,181.0
pte_alkyl_halide,Arg0,173.0,3460,173.0
pte_active,Arg0,162.0,3240,162.0
pte_ester,Arg0,147.0,2940,147.0
pte_ketone,Arg0,143.0,2860,143.0
pte_ames,Arg0,142.0,2840,142.0
pte_mutagenic,Arg0,138.0,2760,138.0
pte_bound,Arg3,129.85,2597,129.85
pte_non_ar_hetero_6_ring,Arg0,87.0,1740,87.0
pte_non_ar_hetero_5_ring,Arg0,78.0,1560,78.0
pte_five_ring,Arg0,75.0,1500,75.0
pte_sulfide,Arg0,62.0,1240,62.0
pte_methoxy,Arg0,60.0,1200,60.0
pte_phenol,Arg0,49.0,980,49.0
pte_nitro,Arg0,48.0,960,48.0
pte_testactive_Neg,Arg0,39.0,780,39.0
pte_testactive,Arg0,39.0,780,39.0
pte_postestactive_neg,Arg0,39.0,780,39.0
pte_non_ar_5c_ring,Arg0,32.0,640,32.0
pte_sulfo,Arg0,25.0,500,25.0
pte_imine,Arg0,20.0,340,20.0
pte_alcohol,Arg0,20.0,160,20.0
pte_postestactive,Arg0,20.0,400,20.0
