benchmark,query_table,query_column,candidate_table,candidate_column,methods,method_scores,lexical_score,query_unique_values,candidate_unique_values
wt-wdc,AJ-beatles-songs_source_Title.csv,title,target_055179.csv,title,snoopy,"{""snoopy"": 0.833025}",1.0000,"[""A Beginning"", ""A Day In The Life"", ""A Hard Day's Night"", ""A Little Rhyme"", ""A Shot Of Rhythm And Blues"", ""A Taste Of Honey"", ""Across The Universe"", ""Act Naturally"", ""Ain't She Sweet"", ""All I've Got To Do"", ""All My Loving"", ""All Things Must Pass"", ""All Together Now"", ""All You Need Is Love"", ""And I Love Her"", ""And Your Bird Can Sing"", ""Anna (Go To Him)"", ""Another Girl"", ""Any Time At All"", ""Ask Me Why"", ""Baby It's You"", ""Baby You're A Rich Man"", ""Baby's In Black"", ""Back in the U.S.S.R"", ""Bad Boy"", ""Beatle Greetings"", ""Because"", ""Being for the Benefit of Mr. Kite!"", ""Besame Mucho"", ""Birthday"", ""Blackbird"", ""Blue Jay Way"", ""Boys"", ""Can't Buy Me Love"", ""Carol"", ""Carry That Weight"", ""Cayenne"", ""Chains"", ""Clarabella"", ""Come And Get It"", ""Come Together"", ""Crinsk Dee Night"", ""Cry Baby Cry"", ""Cry For A Shadow"", ""Crying Waiting Hoping"", ""Day Tripper"", ""Dear Prudence"", ""Dear Wack!"", ""Devil In Her Heart"", ""Dig A Pony"", ""Dig It"", ""Dizzy Miss Lizzy"", ""Do You Want To Know A Secret"", ""Doctor Robert"", ""Don't Bother Me"", ""Don't Ever Change"", ""Don't Let Me Down"", ""Don't Pass Me By"", ""Drive My Car"", ""Eight Days A Week"", ""Eleanor Rigby"", ""Every Little Thing"", ""Everybody's Got Something to Hide Except Me and My Monkey"", ""Everybody's Trying To Be My Baby""]","[""Candle in the Wind '97"", ""Mmmbop"", ""I'll Be Missing You"", ""Don't Speak"", ""I Believe I Can Fly"", ""Barbie Girl"", ""Tubthumping"", ""Men in Black"", ""Something About the Way You look Tonight"", ""Bitter Sweet Symphony"", ""2 Become 1"", ""Honey"", ""Discotheque"", ""Quit Playing Games (With My Heart)"", ""You Were Meant for Me"", ""Lovefool"", ""I Want You"", ""As Long As You Love Me"", ""Bitch"", ""Everybody (Backstreet's Back)"", ""Semi-Charmed Life"", ""Your Woman"", ""You make Me Wanna"", ""Spice Up Your Life"", ""Mo Money Mo Problems"", ""Don't Cry For Me Argentina"", ""Don't Let Go (Love)"", ""Blood on the Dance Floor"", ""I Finally Found Someone"", ""(Un Dos Tres) Maria"", ""D'You Know What I Mean?"", ""C U When U Get There"", ""All By Myself"", ""Time to Say Goodbye (Con Te Partiro)"", ""Everyday is a Winding Road"", ""Hard to Say I'm Sorry"", ""4 Seasons of Loneliness"", ""Foolish Games"", ""Can't Nobody Hold Me Down"", ""For You I Will"", ""I Will Come to You"", ""To the Moon & Back"", ""Song 2"", ""Where Have All the Cowboys Gone?"", ""Hypnotize"", ""Show Me Love"", ""Mama"", ""Staring At the Sun"", ""I Believe in You & Me"", ""One Headlight"", ""Fly"", ""Everytime I Close My Eyes"", ""Sunny Came Home"", ""Falling in Love (Is Hard on the Knees)"", ""I Shot the Sheriff"", ""I Don't Want To"", ""I Want You Back"", ""Perfect Day"", ""Got 'Til It's Gone"", ""Alone"", ""Anybody Seen My Baby"", ""Fly Like an Eagle"", ""Step By Step"", ""Paranoid Android""]"
wt-wdc,AJ-beatles-songs_source_Title.csv,title,target_073414.csv,title,deepjoin;snoopy,"{""deepjoin"": 0.830782, ""snoopy"": 0.807607}",0.9000,"[""A Beginning"", ""A Day In The Life"", ""A Hard Day's Night"", ""A Little Rhyme"", ""A Shot Of Rhythm And Blues"", ""A Taste Of Honey"", ""Across The Universe"", ""Act Naturally"", ""Ain't She Sweet"", ""All I've Got To Do"", ""All My Loving"", ""All Things Must Pass"", ""All Together Now"", ""All You Need Is Love"", ""And I Love Her"", ""And Your Bird Can Sing"", ""Anna (Go To Him)"", ""Another Girl"", ""Any Time At All"", ""Ask Me Why"", ""Baby It's You"", ""Baby You're A Rich Man"", ""Baby's In Black"", ""Back in the U.S.S.R"", ""Bad Boy"", ""Beatle Greetings"", ""Because"", ""Being for the Benefit of Mr. Kite!"", ""Besame Mucho"", ""Birthday"", ""Blackbird"", ""Blue Jay Way"", ""Boys"", ""Can't Buy Me Love"", ""Carol"", ""Carry That Weight"", ""Cayenne"", ""Chains"", ""Clarabella"", ""Come And Get It"", ""Come Together"", ""Crinsk Dee Night"", ""Cry Baby Cry"", ""Cry For A Shadow"", ""Crying Waiting Hoping"", ""Day Tripper"", ""Dear Prudence"", ""Dear Wack!"", ""Devil In Her Heart"", ""Dig A Pony"", ""Dig It"", ""Dizzy Miss Lizzy"", ""Do You Want To Know A Secret"", ""Doctor Robert"", ""Don't Bother Me"", ""Don't Ever Change"", ""Don't Let Me Down"", ""Don't Pass Me By"", ""Drive My Car"", ""Eight Days A Week"", ""Eleanor Rigby"", ""Every Little Thing"", ""Everybody's Got Something to Hide Except Me and My Monkey"", ""Everybody's Trying To Be My Baby""]","[""Girl About Town"", ""Sea of Heartbreak"", ""You Know The Rest"", ""It Aint Use"", ""Keep On Running"", ""Feel So Bad"", ""Furi, Furi '66"", ""I Gotta Go Get My Baby"", ""I Stayed Away Too Long"", ""Lil' Augie Is A Natural Man"", ""The Walk"", ""Just The Beginning"", ""How I Pass The Time (demo)"", ""If You Don't Know By Now"", ""Hi De Ank Tum"", ""Cry Like A Baby"", ""Doctor, Lawyer, Indian Chief"", ""The Riddler"", ""Spector's Radio Ad"", ""Caffeine Patrol"", ""It's LB Time"", ""Let Go"", ""All Day And All Of The Night"", ""I Feel LIke Singing Today"", ""Can You Get To That?"", ""Catch A Ride"", ""Love Thy Neighbor"", ""Theme"", ""Help Poor Me"", ""Here Comes The Whistleman"", ""If You Gotta Go, Go Now"", ""Shakin The Blues"", ""Drop A Nickle In The Slop"", ""Ska Dee Wah"", ""Why Do You Let Me Stay Here?"", ""Tel-A-Woman"", ""I Found God In The Gutter Last Night"", ""Down By The Riverside"", ""Lookin For More In '64"", ""There Ain't Nothing True About You"", ""At The Party"", ""Why Betrays Me"", ""I Remember Caroline"", ""Columbus Stockade Blues"", ""The Letter"", ""Bananadas"", ""(1-2-3-4-5-6-7) Count The Days"", ""Crazy Little House On The Hill"", ""Go Get A Wig"", ""Handclappin'"", ""Phast Phreddie Patterson"", ""King Heroin"", ""I Couldn't Love You Anymore Then I Do"", ""Let's Stay Together"", ""Don't Take It So Hard"", ""Guys & Dolls"", ""Scott Schinder"", ""Photograph"", ""Streetman Bakers"", ""Good Buddy Announcement"", ""Radio Shack - Coaxial Flutter"", ""Extra Crispy"", ""Do You Know What"", ""You're Not Home""]"
wt-wdc,AJ-california-govs-1_source_Governor_s_Name.csv,title,target_016069.csv,title,deepjoin,"{""deepjoin"": 0.705345}",1.0000,"[""Gov. Arnold Schwarzenegger"", ""Gov. Gray Davis"", ""Gov. Pete Wilson"", ""Gov. George Deukmejian"", ""Gov. Ronald Wilson Reagan"", ""Gov. Edmund Gerald Brown"", ""Gov. Goodwin Jess Knight"", ""Gov. Earl Warren"", ""Gov. Culbert L. Olson"", ""Gov. Frank Finley Merriam"", ""Gov. James Rolph"", ""Gov. Clement Calhoun Young"", ""Gov. Friend William Richardson"", ""Gov. William Dennison Stephens"", ""Gov. Hiram Warren Johnson"", ""Gov. James Norris Gillett"", ""Gov. George Cooper Pardee"", ""Gov. Henry Tifft Gage"", ""Gov. James Herbert Budd"", ""Gov. Henry Harrison Markham"", ""Gov. Robert Whitney Waterman"", ""Gov. Washington Bartlett"", ""Gov. George Stoneman"", ""Gov. George Clement Perkins"", ""Gov. William Irwin""]","[""Isham King"", ""Jesse Miller"", ""Absolom Smith"", ""William Mathis"", ""James Moreland"", ""C A Ellington"", ""William Weems"", ""Thomas Smith"", ""Henry Addington"", ""William Richardson"", ""Jacob Deal"", ""Thomas Durham"", ""Stephen Holloway"", ""William O Newberry"", ""Hiram Evans"", ""Wilson Possett"", ""William Deal"", ""Thomas Wright"", ""John Osborn"", ""Sylvanus Bailey"", ""Elijah Holt"", ""John Prater"", ""Thomas Siniard"", ""Nathaniel Childers"", ""Fennel Lambert"", ""Fields Chapman"", ""Laxton Crow"", ""William Hickman"", ""William Plemmons"", ""Allen D Wigley"", ""Wesley F York"", ""John Clonts"", ""Christopher Holloway"", ""Samuel Rop"", ""Elijah P Pettit"", ""Lewis Willis"", ""Thomas Townsend"", ""Richard Wallis"", ""James Dickerson"", ""George W Thomas"", ""William Conner"", ""Toliver Green"", ""Seaborn Kirkland"", ""James Weaver"", ""John Holden"", ""Commodore C Sorrels"", ""John W Sanders"", ""Robert Parris"", ""Jacob Hefner"", ""Richard Ratcliff"", ""William Wade"", ""James M Davis"", ""Leman Stow"", ""Daniel B Miller"", ""John Evans"", ""Moses J Roberson"", ""Thomas Debord"", ""Joseph Thompson"", ""Job Sosebee"", ""James Fletcher"", ""Reuben Possett"", ""Lorenzo Fossett"", ""Alfred H Johnson"", ""Jacob Gipson""]"
wt-wdc,AJ-california-govs-1_source_Governor_s_Name.csv,title,target_041375.csv,title,deepjoin,"{""deepjoin"": 0.69186}",1.0000,"[""Gov. Arnold Schwarzenegger"", ""Gov. Gray Davis"", ""Gov. Pete Wilson"", ""Gov. George Deukmejian"", ""Gov. Ronald Wilson Reagan"", ""Gov. Edmund Gerald Brown"", ""Gov. Goodwin Jess Knight"", ""Gov. Earl Warren"", ""Gov. Culbert L. Olson"", ""Gov. Frank Finley Merriam"", ""Gov. James Rolph"", ""Gov. Clement Calhoun Young"", ""Gov. Friend William Richardson"", ""Gov. William Dennison Stephens"", ""Gov. Hiram Warren Johnson"", ""Gov. James Norris Gillett"", ""Gov. George Cooper Pardee"", ""Gov. Henry Tifft Gage"", ""Gov. James Herbert Budd"", ""Gov. Henry Harrison Markham"", ""Gov. Robert Whitney Waterman"", ""Gov. Washington Bartlett"", ""Gov. George Stoneman"", ""Gov. George Clement Perkins"", ""Gov. William Irwin""]","[""Reverda"", ""Henry"", ""Joe"", ""Ross"", ""Walter"", ""Willis H."", ""Willie H."", ""William Glenn"", ""Bertram"", ""Ernest S."", ""Dallas P."", ""Walter P."", ""Preston F."", ""Alex"", ""Simon Peter"", ""Arthur Ward"", ""Joseph Leonard"", ""Thomas Clyde"", ""John H."", ""Gerald"", ""James T."", ""Richard H., Jr."", ""Herbert"", ""Robert"", ""Carl"", ""Charles"", ""Robert, Jr."", ""George Grover"", ""Arthur Smith"", ""Alton L."", ""Charles O."", ""Robert E."", ""Nathan"", ""James Albert"", ""Robert R."", ""Barrett"", ""John"", ""William R."", ""Jesse O."", ""Archie"", ""Elbert Houston"", ""Henry P."", ""Robert H."", ""Thomas"", ""George R."", ""Oscar"", ""Grover C."", ""William P."", ""Buford B."", ""Virgil"", ""William"", ""Clyde"", ""Frank"", ""James E."", ""John Wesley"", ""Osborn W."", ""Estes E."", ""Louie Adolphus"", ""Charlie"", ""John P."", ""Sam"", ""Albert L."", ""Clint"", ""Hugh A., Sr.""]"
wt-wdc,AJ-california-govs-1_source_Governor_s_Name.csv,title,target_093632.csv,title,deepjoin,"{""deepjoin"": 0.693289}",1.0000,"[""Gov. Arnold Schwarzenegger"", ""Gov. Gray Davis"", ""Gov. Pete Wilson"", ""Gov. George Deukmejian"", ""Gov. Ronald Wilson Reagan"", ""Gov. Edmund Gerald Brown"", ""Gov. Goodwin Jess Knight"", ""Gov. Earl Warren"", ""Gov. Culbert L. Olson"", ""Gov. Frank Finley Merriam"", ""Gov. James Rolph"", ""Gov. Clement Calhoun Young"", ""Gov. Friend William Richardson"", ""Gov. William Dennison Stephens"", ""Gov. Hiram Warren Johnson"", ""Gov. James Norris Gillett"", ""Gov. George Cooper Pardee"", ""Gov. Henry Tifft Gage"", ""Gov. James Herbert Budd"", ""Gov. Henry Harrison Markham"", ""Gov. Robert Whitney Waterman"", ""Gov. Washington Bartlett"", ""Gov. George Stoneman"", ""Gov. George Clement Perkins"", ""Gov. William Irwin""]","[""Hans"", ""Paul Charles"", ""Arthur Henry"", ""Frederick Wm."", ""William Richard Jr."", ""Oscar Vadus"", ""John L."", ""James Herbert"", ""William"", ""Roscoe C."", ""Frank B."", ""Martin Otto"", ""Gustav Heinrich"", ""Otto P."", ""Herman"", ""Carl"", ""Ray Edmund"", ""Leverett Bradford"", ""Lewis William"", ""Harry Harrison"", ""Ernest Frederick"", ""Harry Munford"", ""Niels Christian"", ""Anders Krestyan"", ""Geo. T."", ""Joseph Russell"", ""Russell A."", ""William Arthur"", ""James Garfield"", ""Roy Clement"", ""Nels"", ""Jacob Peter"", ""Herman Ludwig"", ""George Lander"", ""Julius Eskel"", ""Dale"", ""Fred"", ""Alfred"", ""Richard John"", ""Forest Leroy"", ""Delbert Howard"", ""Tom"", ""Dwight Abner"", ""Roscoe Leonard"", ""Ray"", ""Harry Allen"", ""Wilford Willis"", ""Wm. Charles"", ""August"", ""Elias"", ""Lloyd Keith"", ""Albert"", ""John Gwyin"", ""Frederick Homer"", ""Charles Franklin"", ""Warren J."", ""Rono"", ""Joe Anton"", ""Albert John"", ""Brigido"", ""William Franklin"", ""Paul Ernest"", ""Harlan K."", ""Nicholas Francis""]"
wt-wdc,AJ-california-govs-1_source_Party,title,target_003538,title,semsketch,"{""semsketch"": 0.56085005402565}",1.0000,"[""Republican"", ""Democrat"", ""Democrat Republican"", ""Republican Progressive"", ""Progressive Republican""]","[""Remarks by the President and Governor Romney in Second Presidential Debate"", ""Remarks to the U.S. Hispanic Chamber of Commerce"", ""Obama Has Failed to Provide Any Leadership on Immigration"", ""Mitt Romney: Obama Has Failed to Provide Any Leadership on Immigration"", ""Mitt Romney Delivers Remarks to NALEO: \""Growing Opportunity For All Americans\"""", ""Mitt Romney Announces Support of Puerto Rico Governor Luis G. Fortuño"", ""CNN Florida Republican Presidential Debate"", ""CNN Southern Republican Debate"", ""Florida Attorney General Pam Bondi Endorses Mitt Romney"", ""Des Moines Register - Mitt Romney Says Iowa Would be Winnable in Election"", ""CNN Western Republican Presidential Debate"", ""The New York Times - Romney Keeps Sights on Obama"", ""Fox News-Google GOP Debate"", ""CNN \""CNN-Tea Party Republican Debate\"" - Transcript"", ""Republican Debate at the Reagan Presidential Library"", ""GOP Presidential Forum"", ""Iowa Republican Debate"", ""Fox News \""Fox and Friends\"" Interview - Transcript"", ""CBS \""Early Show\"" Interview - Transcript"", ""Republican Presidential Candidates Debate - Transcript"", ""Fox News \""Fox and Friends\"" - Transcript"", ""Fox News \""America's Newsroom\"" - Transcript"", ""Governor Romney Addresses The Potential Economic Damage Of McCain-Lieberman"", ""Republican Presidential Candidates Debate"", ""Fox News \""Your World With Neil Cavuto\"" - Transcript"", ""ABC \""This Week with George Stephanopoulos\"" - Transcript"", ""Republican Presidential Debate"", ""FOX \""Fox and Friends\"" - Transcript"", ""NBC \""Meet the Press\"" - Transcript"", ""In Case You Missed It: Governor Romney On \""Morning Joe\"""", ""Des Moines Register Presidential Debate: The Republicans"", ""Republican Univision Debate Transcript"", ""CNN/You Tube Debate - Transcript"", ""In Case You Missed It: Governor Mitt Romney On Talk Radio Live"", ""Governor Mitt Romney On Governor Eliot Spitzer And Driver's Licenses"", ""\""You're One of the People Who We Want in This City\"""", ""The Romney Agenda: Reforming Our Immigration System"", ""The Romney Vision: A Leader Takes Action to Stop Illegal Immigration"", ""No Driver's Licenses for Illegals. Period."", ""Romney Record: Governor Romney On Ending Sanctuary City Policies"", ""CBS \""Face the Nation\""-Transcript"", ""Fox News \""Republican Debate\"" - Transcript"", ""Governor Mitt Romney On The ICE Raid In Wright County, Iowa"", ""Fox News Republican Presidential Candidates Debate- Transcript"", ""Jackson Hole News & Guide - Romney Pushes Values"", ""FOX News Channel \""The Big Story\""-Transcript"", ""The San Diego-Union Tribune - GOP Hopeful Romney Tours Border In S.D"", ""Governor Romney On The Announcement Of New Immigration Enforcement"", ""Laconia Citizen - Romney Sees a Bright Future""]"
wt-wdc,AJ-california-govs-1_source_Party,title,target_004157,title,semsketch,"{""semsketch"": 0.5834278166294098}",1.0000,"[""Republican"", ""Democrat"", ""Democrat Republican"", ""Republican Progressive"", ""Progressive Republican""]","[""Republican National Cmte"", ""National Republican Congressional Cmte"", ""National Republican Senatorial Cmte"", ""2012 Tampa Bay Host Cmte"", ""Republican Party of Florida"", ""Republican Party of Ohio"", ""Committee on Arrangements/2012 Repub Convention"", ""Republican Party of Massachusetts"", ""Republican Party of Wisconsin"", ""Republican Party of Virginia"", ""Republican Federal Cmte of Pennsylvania"", ""Republican Party of Michigan"", ""Republican Party of North Carolina"", ""Colorado Republican Cmte"", ""Oklahoma Leadership Council"", ""Republican Party of Idaho"", ""Vermont Republican Federal Elections Cmte"", ""Republican Party of California"", ""Republican Party of Iowa"", ""Texas Republican Congressional Cmte"", ""New York Republican Federal Campaign Cmte"", ""Republican Party of Minnesota"", ""Republican Party of Illinois"", ""Missouri Republican State Cmte"", ""Indiana Republican State Cmte"", ""Republican Party of Kentucky"", ""Montana Republican State Central Cmte"", ""Republican Party of Washington"", ""New Hampshire Republican State Cmte"", ""Republican Party of Arizona"", ""Republican Party of Utah"", ""Republican Party of Georgia"", ""Republican Party of Alabama"", ""Republican Party of Tennessee"", ""Republican Party of North Dakota"", ""Republican Party of San Diego County"", ""Republican Party of Cuyahoga County"", ""New Jersey Republican State Cmte"", ""Republican Campaign Cmte of New Mexico"", ""Republican Party of South Carolina"", ""Connecticut Republican Campaign Cmte"", ""Republican Party of Nebraska"", ""Republican Central Cmte of Nevada"", ""Republican Party of Arkansas"", ""Republican Party of South Dakota"", ""Republican State Central Cmte/Maryland"", ""Republican Party of Hawaii"", ""Republican Party of Maine"", ""Republican Party of Oregon"", ""Seventh District Republican Cmte"", ""Washoe County Republican Party"", ""Republican Party of Mississippi"", ""Republican Party of Louisiana"", ""Republican State Cmte of Delaware"", ""Republican Party of West Virginia"", ""Republican Party of Kansas"", ""Republican Central Cmte of Orange County"", ""Republican Party of Alaska"", ""Republican Party of the District of Columbia"", ""Rhode Island Repub State Central Cmte"", ""Republican Party of Wyoming"", ""Republican Party of Dallas County"", ""California 2012 GOP Delegation"", ""Hillsborough County Republican Executive""]"
wt-wdc,AJ-california-govs-1_source_Party,title,target_030363,title,semsketch,"{""semsketch"": 0.5753074884414673}",1.0000,"[""Republican"", ""Democrat"", ""Democrat Republican"", ""Republican Progressive"", ""Progressive Republican""]","[""DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE - Democrat"", ""TIM MAHONEY FOR FLORIDA - Democrat"", ""DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - Democrat"", ""MENENDEZ FOR SENATE - Democrat"", ""FRIENDS OF SHERROD BROWN - Democrat"", ""HAROLD FORD JR FOR TENNESSEE - Democrat"", ""WHITEHOUSE 06 - Democrat"", ""MONTANANS FOR TESTER - Democrat"", ""SENATE 2006 - Democrat"", ""PHYLLIS BUSANSKY FOR CONGRESS - Democrat"", ""JAMES WEBB FOR US SENATE - Democrat"", ""ARCURI FOR CONGRESS - Democrat"", ""FRIENDS OF DAN MAFFEI - Democrat"", ""DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE - Democrat"", ""ARIZONA STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE - Democrat"", ""NEW YORK STATE DEMOCRATIC COMMITTEE - Democrat"", ""LAWLESS FOR CONGRESS - Democrat"", ""MASSA FOR CONGRESS - Democrat"", ""KLOBUCHAR FOR MINNESOTA - Democrat"", ""MADRID FOR CONGRESS - Democrat"", ""SESTAK FOR CONGRESS - Democrat"", ""COMMITTEE TO ELECT CHRIS MURPHY - Democrat"", ""NADLER FOR CONGRESS - Democrat"", ""LOIS MURPHY FOR CONGRESS - Democrat"", ""BOB CASEY FOR PENNSYLVANIA COMMITTEE - Democrat"", ""COLEEN ROWLEY FOR CONGRESS - Democrat"", ""MCCASKILL FOR MISSOURI - Democrat"", ""FARRELL FOR CONGRESS - Democrat"", ""GILLIBRAND FOR CONGRESS - Democrat"", ""PAUL ARONSOHN FOR CONGRESS - Democrat"", ""SCHULTZ DEBBIE WASSERMAN - Democrat"", ""FRIENDS OF TAMMY DUCKWORTH - Democrat"", ""BILL NELSON FOR U S SENATE - Democrat"", ""HACKETT FOR SENATE - Democrat"", ""FRIENDS OF JOHN BARROW - Democrat"", ""LAMPSON VICTORY 2006 - Democrat"", ""MALONEY FOR CONGRESS - Democrat"", ""BEN CARDIN FOR SENATE - Democrat"", ""EMILY'S LIST"", ""NATIONAL LEADERSHIP PAC"", ""NITA LOWEY FOR CONGRESS - Democrat"", ""TIM BISHOP FOR CONGRESS - Democrat"", ""CANTWELL 2012 - Democrat"", ""FRIENDS OF JANE HARMAN - Democrat"", ""FRIENDS OF KENT CONRAD - Democrat"", ""ALLYSON SCHWARTZ FOR CONGRESS - Democrat"", ""MATT BROWN FOR US SENATE - Democrat"", ""KENNEDY FOR SENATE 2012 - Democrat"", ""STABENOW FOR US SENATE - Democrat"", ""RANGEL FOR CONGRESS - Democrat"", ""MATSUI FOR CONGRESS - Democrat"", ""BIG EASY COMMITTEE - Democrat"", ""CITIZENS FOR BIDEN - Democrat""]"
wt-wdc,AJ-california-govs-1_source_Party,title,target_037602,title,semsketch,"{""semsketch"": 0.5834278166294098}",1.0000,"[""Republican"", ""Democrat"", ""Democrat Republican"", ""Republican Progressive"", ""Progressive Republican""]","[""Republican National Cmte"", ""National Republican Congressional Cmte"", ""National Republican Senatorial Cmte"", ""2012 Tampa Bay Host Cmte"", ""Republican Party of Florida"", ""Republican Party of Ohio"", ""Committee on Arrangements/2012 Repub Convention"", ""Republican Party of Massachusetts"", ""Republican Party of Wisconsin"", ""Republican Party of Virginia"", ""Republican Federal Cmte of Pennsylvania"", ""Republican Party of Michigan"", ""Republican Party of North Carolina"", ""Colorado Republican Cmte"", ""Oklahoma Leadership Council"", ""Republican Party of Idaho"", ""Vermont Republican Federal Elections Cmte"", ""Republican Party of California"", ""Republican Party of Iowa"", ""Texas Republican Congressional Cmte"", ""New York Republican Federal Campaign Cmte"", ""Republican Party of Minnesota"", ""Republican Party of Illinois"", ""Missouri Republican State Cmte"", ""Indiana Republican State Cmte"", ""Republican Party of Kentucky"", ""Montana Republican State Central Cmte"", ""Republican Party of Washington"", ""New Hampshire Republican State Cmte"", ""Republican Party of Arizona"", ""Republican Party of Utah"", ""Republican Party of Georgia"", ""Republican Party of Alabama"", ""Republican Party of Tennessee"", ""Republican Party of North Dakota"", ""Republican Party of San Diego County"", ""Republican Party of Cuyahoga County"", ""New Jersey Republican State Cmte"", ""Republican Campaign Cmte of New Mexico"", ""Republican Party of South Carolina"", ""Connecticut Republican Campaign Cmte"", ""Republican Party of Nebraska"", ""Republican Central Cmte of Nevada"", ""Republican Party of Arkansas"", ""Republican Party of South Dakota"", ""Republican State Central Cmte/Maryland"", ""Republican Party of Hawaii"", ""Republican Party of Maine"", ""Republican Party of Oregon"", ""Seventh District Republican Cmte"", ""Washoe County Republican Party"", ""Republican Party of Mississippi"", ""Republican Party of Louisiana"", ""Republican State Cmte of Delaware"", ""Republican Party of West Virginia"", ""Republican Party of Kansas"", ""Republican Central Cmte of Orange County"", ""Republican Party of Alaska"", ""Republican Party of the District of Columbia"", ""Rhode Island Repub State Central Cmte"", ""Republican Party of Wyoming"", ""Republican Party of Dallas County"", ""California 2012 GOP Delegation"", ""Hillsborough County Republican Executive""]"
wt-wdc,AJ-california-govs-1_source_Party,title,target_047239,title,semsketch,"{""semsketch"": 0.5912826359272003}",1.0000,"[""Republican"", ""Democrat"", ""Democrat Republican"", ""Republican Progressive"", ""Progressive Republican""]","[""FRIENDS OF PHIL HARE - Democrat"", ""BLUE ILLINOIS 2010 - Democrat"", ""ILLINOIS SENATE 2010 - Democrat"", ""RODNEY ALEXANDER FOR CONGRESS INC. - Republican"", ""ILLINOIS VICTORY FUND 2010 - Democrat"", ""COMMITTEE TO ELECT JEFF MILLER - Republican"", ""KIRKLAND FOR CONGRES - Republican"", ""DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - Democrat"", ""RICHARD BURR COMMITTEE; THE - Republican"", ""KENDRICK MEEK FOR FLORIDA INC - Democrat"", ""DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE - Democrat"", ""SCHAUER FOR CONGRESS - Democrat"", ""FRIENDS OF BYRON DORGAN - Democrat"", ""JESSE JACKSON JR FOR CONGRESS - Democrat"", ""ALEXI FOR ILLINOIS - Democrat"", ""HALVORSON FOR CONGRESS - Democrat"", ""ELLSWORTH FOR INDIANA - Democrat"", ""GREG NEWMAN FOR CONGRESS - Republican"", ""PRAIRIE POLITICAL ACTION COMMITTEE"", ""ROXANNE CONLIN FOR SENATE - Democrat"", ""FEINGOLD SENATE COMMITTEE - Democrat"", ""ROBIN CARNAHAN FOR SENATE - Democrat"", ""MCCASKILL FOR MISSOURI 2012 - Democrat"", ""FRIENDS OF SCHUMER - Democrat"", ""DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE - Democrat"", ""DAN SEALS FOR CONGRESS - Democrat"", ""QUIGLEY FOR CONGRESS - Democrat"", ""CITIZENS FOR ARLEN SPECTER - Democrat"", ""FRIENDS FOR HARRY REID - Democrat"", ""FRITCHEY FOR US - Democrat"", ""FRIENDS OF BARBARA BOXER - Democrat"", ""SCHAKOWSKY FOR CONGRESS - Democrat"", ""PEOPLE FOR PATTY MURRAY - Democrat"", ""FRIENDS OF SARA - Democrat"", ""ACTBLUE""]"
