target_ds,target_attr,candidate_ds,candidate_attr
data_mill_a.csv,Ratepayer,data_mill_a.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_b.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_0.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_1.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_2.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_3.csv,Account Holder1
data_mill_a.csv,Ratepayer,data_mill_4.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_5.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_6.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_7.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_8.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_9.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_10.csv,Ratepayer
data_mill_a.csv,Ratepayer,data_mill_11.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_a.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_b.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_0.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_1.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_2.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_3.csv,Account Holder1
data_mill_b.csv,Ratepayer,data_mill_4.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_5.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_6.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_7.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_8.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_9.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_10.csv,Ratepayer
data_mill_b.csv,Ratepayer,data_mill_11.csv,Ratepayer
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_a.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_b.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_0.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_1.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_2.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_3.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_4.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_5.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_6.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_7.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_8.csv,CoAppOrgNm
cihr_co-applicant_a.csv,CoAppOrgNm,cihr_co-applicant_9.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_a.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_b.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_0.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_1.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_2.csv,CoAppOrgNm
cihr_co-applicant_b.csv,CoAppOrgNm,cihr_co-applicant_3.csv,CoAppOrgNm
