target_ds,target_attr
AJ-beatles-songs_source_Title,Title
AJ-california-govs-1_source_Governor_s_Name,Governor's Name
AJ-california-govs-1_source_State,State
AJ-california-govs-1_source_Time_in_Office,Time in Office
AJ-california-govs-1_source_Party,Party
AJ-california-govs-2_source__,№
AJ-california-govs-2_source_Governor,Governor
AJ-california-govs-2_source_Term_in_office,Term in office
AJ-california-govs-2_source_Party,Party
AJ-california-govs-2_source_Term,Term
AJ-california-govs-2_source_Previous_office,Previous office
AJ-california-govs-2_source_Lieutenant_Governor,Lieutenant Governor
AJ-chinese-provinces_source_GB,GB
AJ-chinese-provinces_source_ISO,ISO
AJ-chinese-provinces_source_Province,Province
AJ-chinese-provinces_source_Chinese_Hanyu_Pinyin,Chinese Hanyu Pinyin
AJ-chinese-provinces_source_Capital,Capital
AJ-chinese-provinces_source_Abbreviation,Abbreviation
AJ-christmas-songs-1_source_No,No
AJ-christmas-songs-1_source_Song,Song
AJ-christmas-songs-1_source_Artist,Artist
AJ-christmas-songs-2_source_Title,Title
AJ-christmas-songs-2_source_Artist,Artist
AJ-christmas-songs-2_source_Year,Year
AJ-christmas-songs-2_source_Additional_Information,Additional Information
AJ-duke-cs-profs_source_column_0,column 0
AJ-duke-cs-profs_source_column_1,column 1
AJ-duke-cs-profs_source_column_2,column 2
AJ-fruits-1_source_FRUITS__raw_,FRUITS (raw)
AJ-fruits-1_source_AMOUNT,AMOUNT
AJ-fruits-1_source_CARBS__grams_,CARBS (grams)
AJ-fruits-2_source_FRUITS__raw_,FRUITS (raw)
AJ-fruits-2_source_AMOUNT,AMOUNT
AJ-fruits-2_source_CARBS__grams_,CARBS (grams)
AJ-fsu-name-to-username_source_last_name,last name
AJ-fsu-name-to-username_source_first_name,first name
AJ-fsu-name-to-username_source_full_name,full name
AJ-k12-name-to-email_source_SchoolName,SchoolName
AJ-k12-name-to-email_source_Name,Name
AJ-new-york-govs-1_source_Name,Name
AJ-new-york-govs-1_source_Held_Office,Held Office
