target_ds,target_attr
FootballLeagueSeason_left.csv,title
UnitOfWork_left.csv,title
Award_left.csv,title
Artwork_left.csv,title
TennisTournament_left.csv,title
NaturalEvent_left.csv,title
MemberOfParliament_left.csv,title
Noble_left.csv,title
HistoricBuilding_left.csv,title
GovernmentAgency_left.csv,title
PoliticalParty_left.csv,title
SoccerTournament_left.csv,title
Tournament_left.csv,title
FootballMatch_left.csv,title
EthnicGroup_left.csv,title
Stadium_left.csv,title
SportFacility_left.csv,title
Song_left.csv,title
GivenName_left.csv,title
MotorsportSeason_left.csv,title
Galaxy_left.csv,title
Wrestler_left.csv,title
BasketballTeam_left.csv,title
Enzyme_left.csv,title
ArtificialSatellite_left.csv,title
SportsLeague_left.csv,title
Hospital_left.csv,title
Magazine_left.csv,title
Amphibian_left.csv,title
TelevisionStation_left.csv,title
Monarch_left.csv,title
NationalFootballLeagueSeason_left.csv,title
Race_left.csv,title
ClericalAdministrativeRegion_left.csv,title
Museum_left.csv,title
Election_left.csv,title
NCAATeamSeason_left.csv,title
Case_left.csv,title
Device_left.csv,title
Venue_left.csv,title
ShoppingMall_left.csv,title
Reptile_left.csv,title
Legislature_left.csv,title
RugbyLeague_left.csv,title
Drug_left.csv,title
RailwayLine_left.csv,title
SoccerLeague_left.csv,title
Country_left.csv,title
SoccerClubSeason_left.csv,title
ChristianBishop_left.csv,title
