query_table,query_column,candidate_table,candidate_column,num_predicted_matches,num_ground_truth_matches,total_query_values,total_candidate_values
footballleagueseason_left,title,footballleagueseason_right,title,200,38,42,85
unitofwork_left,title,unitofwork_right,title,200,145,164,173
award_left,title,award_right,title,200,69,109,132
artwork_left,title,artwork_right,title,194,64,140,104
tennistournament_left,title,tennistournament_right,title,200,22,65,26
naturalevent_left,title,naturalevent_right,title,200,40,131,47
memberofparliament_left,title,memberofparliament_right,title,200,72,130,138
noble_left,title,noble_right,title,200,75,131,121
historicbuilding_left,title,historicbuilding_right,title,200,81,148,136
governmentagency_left,title,governmentagency_right,title,200,105,139,162
politicalparty_left,title,politicalparty_right,title,200,44,141,112
soccertournament_left,title,soccertournament_right,title,200,85,104,143
tournament_left,title,tournament_right,title,200,57,83,144
footballmatch_left,title,footballmatch_right,title,195,24,129,42
ethnicgroup_left,title,ethnicgroup_right,title,199,158,188,188
stadium_left,title,stadium_right,title,200,70,134,127
sportfacility_left,title,sportfacility_right,title,200,42,118,108
song_left,title,song_right,title,200,77,153,138
givenname_left,title,givenname_right,title,200,44,175,83
motorsportseason_left,title,motorsportseason_right,title,200,173,172,176
galaxy_left,title,galaxy_right,title,200,2,179,5
wrestler_left,title,wrestler_right,title,200,41,138,88
basketballteam_left,title,basketballteam_right,title,200,94,152,100
enzyme_left,title,enzyme_right,title,200,11,138,34
artificialsatellite_left,title,artificialsatellite_right,title,200,20,163,41
sportsleague_left,title,sportsleague_right,title,200,77,123,159
hospital_left,title,hospital_right,title,200,68,153,101
magazine_left,title,magazine_right,title,196,67,139,112
amphibian_left,title,amphibian_right,title,200,133,147,158
televisionstation_left,title,televisionstation_right,title,198,52,145,145
monarch_left,title,monarch_right,title,200,61,116,94
nationalfootballleagueseason_left,title,nationalfootballleagueseason_right,title,200,3,131,9
race_left,title,race_right,title,200,30,133,71
clericaladministrativeregion_left,title,clericaladministrativeregion_right,title,200,63,134,102
museum_left,title,museum_right,title,200,56,150,116
election_left,title,election_right,title,200,84,108,184
ncaateamseason_left,title,ncaateamseason_right,title,200,7,50,30
case_left,title,case_right,title,200,138,159,161
device_left,title,device_right,title,200,59,117,130
venue_left,title,venue_right,title,200,56,145,115
shoppingmall_left,title,shoppingmall_right,title,199,104,120,129
reptile_left,title,reptile_right,title,199,200,199,199
legislature_left,title,legislature_right,title,200,143,165,151
rugbyleague_left,title,rugbyleague_right,title,200,40,97,50
drug_left,title,drug_right,title,200,17,82,61
railwayline_left,title,railwayline_right,title,199,57,103,86
soccerleague_left,title,soccerleague_right,title,200,92,135,114
country_left,title,country_right,title,200,68,115,120
soccerclubseason_left,title,soccerclubseason_right,title,200,40,59,49
christianbishop_left,title,christianbishop_right,title,197,72,117,131
